// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 松下
<0005> 松下

//<0006> 「また来たか…音無、お前の根性には感服する」
<0006> 「また来たか…音無、お前の根性には感服する」

//<0007> 音無
<0007> 音無

//<0008> クソ坊主
<0008> クソ坊主

//<0009> 代理人
<0009> 代理人

//<0010> 微妙すぎるイケメン
<0010> 微妙すぎるイケメン

//<0011> ロリコン
<0011> ロリコン

//<0012> メガネ仲間
<0012> メガネ仲間

//<0013> 暗算日本記録保持者
<0013> 暗算日本記録保持者

//<0014> 通り魔
<0014> 通り魔

//<0015> 記憶ナシ男
<0015> 記憶ナシ男

//<0016> 音速
<0016> 音速

//<0017> 無限
<0017> 無限

//<0018> エロ侍
<0018> エロ侍

//<0019> エロエロ団ナンバー１
<0019> エロエロ団ナンバー１

//<0020> ただのエロ少年
<0020> ただのエロ少年

//<0021> ユリブサイク
<0021> ユリブサイク

//<0022> ドピュッシー
<0022> ドピュッシー

//<0023> アメリカンエロドッグ
<0023> アメリカンエロドッグ

//<0024> ゼウス
<0024> ゼウス

//<0025> 日向markⅡ
<0025> 日向markⅡ

//<0026> 糞虫
<0026> 糞虫

//<0027> 量産型日向
<0027> 量産型日向

//<0028> ？？
<0028> ？？

//<0029> 「今の俺は、糞虫ですが、何か？」
<0029> 「今の俺は、糞虫ですが、何か？」

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> 松下
<0035> 松下

//<0036> 「練習はさておき、お前はカウンセリングを受けるべきだ」
<0036> 「練習はさておき、お前はカウンセリングを受けるべきだ」

//<0037> 音無
<0037> 音無

//<0038> クソ坊主
<0038> クソ坊主

//<0039> 代理人
<0039> 代理人

//<0040> 微妙すぎるイケメン
<0040> 微妙すぎるイケメン

//<0041> ロリコン
<0041> ロリコン

//<0042> メガネ仲間
<0042> メガネ仲間

//<0043> 暗算日本記録保持者
<0043> 暗算日本記録保持者

//<0044> 通り魔
<0044> 通り魔

//<0045> 記憶ナシ男
<0045> 記憶ナシ男

//<0046> 音速
<0046> 音速

//<0047> 無限
<0047> 無限

//<0048> エロ侍
<0048> エロ侍

//<0049> エロエロ団ナンバー１
<0049> エロエロ団ナンバー１

//<0050> ただのエロ少年
<0050> ただのエロ少年

//<0051> ユリブサイク
<0051> ユリブサイク

//<0052> ドピュッシー
<0052> ドピュッシー

//<0053> アメリカンエロドッグ
<0053> アメリカンエロドッグ

//<0054> ゼウス
<0054> ゼウス

//<0055> 日向markⅡ
<0055> 日向markⅡ

//<0056> 糞虫
<0056> 糞虫

//<0057> 量産型日向
<0057> 量産型日向

//<0058> ？？
<0058> ？？

//<0059> 「は！？」
<0059> 「は！？」

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> 松下
<0065> 松下

//<0066> 「自ら糞虫という呼び名を受け入れている事実…それは心を病んでいる」
<0066> 「自ら糞虫という呼び名を受け入れている事実…それは心を病んでいる」

//<0067> 音無
<0067> 音無

//<0068> クソ坊主
<0068> クソ坊主

//<0069> 代理人
<0069> 代理人

//<0070> 微妙すぎるイケメン
<0070> 微妙すぎるイケメン

//<0071> ロリコン
<0071> ロリコン

//<0072> メガネ仲間
<0072> メガネ仲間

//<0073> 暗算日本記録保持者
<0073> 暗算日本記録保持者

//<0074> 通り魔
<0074> 通り魔

