// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 一旦寮に戻り、ジャージに着替える。
<0000> 一旦寮に戻り、ジャージに着替える。

//<0001> ジャージに着替えて、トレーニングの準備をする。
<0001> ジャージに着替えて、トレーニングの準備をする。

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> 日向
<0007> 日向

//<0008> 男Ｂ
<0008> 男Ｂ

//<0009> エロエロ団総帥
<0009> エロエロ団総帥

//<0010> イケチン
<0010> イケチン

//<0011> ホモ太
<0011> ホモ太

//<0012> ひなチン
<0012> ひなチン

//<0013> 秀樹
<0013> 秀樹

//<0014> 男子生徒
<0014> 男子生徒

//<0015> ？？
<0015> ？？

//<0016> 「とりあえず、ただのエロ少年、ストレッチだ」
<0016> 「とりあえず、ただのエロ少年、ストレッチだ」

//<0017> 日向
<0017> 日向

//<0018> 男Ｂ
<0018> 男Ｂ

//<0019> エロエロ団総帥
<0019> エロエロ団総帥

//<0020> イケチン
<0020> イケチン

//<0021> ホモ太
<0021> ホモ太

//<0022> ひなチン
<0022> ひなチン

//<0023> 秀樹
<0023> 秀樹

//<0024> 男子生徒
<0024> 男子生徒

//<0025> ？？
<0025> ？？

//<0026> 「とりあえず、音無、ストレッチだ」
<0026> 「とりあえず、音無、ストレッチだ」

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> 日向に倣い、ストレッチをする。
<0033> 日向に倣い、ストレッチをする。

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> 日向
<0039> 日向

//<0040> 男Ｂ
<0040> 男Ｂ

//<0041> エロエロ団総帥
<0041> エロエロ団総帥

//<0042> イケチン
<0042> イケチン

//<0043> ホモ太
<0043> ホモ太

//<0044> ひなチン
<0044> ひなチン

//<0045> 秀樹
<0045> 秀樹

//<0046> 男子生徒
<0046> 男子生徒

//<0047> ？？
<0047> ？？

//<0048> 「次はペアストレッチって奴だ。ふたりだとこれが出来るから便利でいいぜ」
<0048> 「次はペアストレッチって奴だ。ふたりだとこれが出来るから便利でいいぜ」

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> 日向
<0054> 日向

//<0055> 男Ｂ
<0055> 男Ｂ

//<0056> エロエロ団総帥
<0056> エロエロ団総帥

//<0057> イケチン
<0057> イケチン

//<0058> ホモ太
<0058> ホモ太

//<0059> ひなチン
<0059> ひなチン

//<0060> 秀樹
<0060> 秀樹

//<0061> 男子生徒
<0061> 男子生徒

//<0062> ？？
<0062> ？？

//<0063> 「ほら、こいよ」
<0063> 「ほら、こいよ」

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> 日向が背中を見せて構える。
<0070> 日向が背中を見せて構える。

//<0071> 音無
<0071> 音無

//<0072> クソ坊主
<0072> クソ坊主

//<0073> 代理人
<0073> 代理人

//<0074> 微妙すぎるイケメン
<0074> 微妙すぎるイケメン

//<0075> ロリコン
<0075> ロリコン

//<0076> メガネ仲間
<0076> メガネ仲間

//<0077> 暗算日本記録保持者
<0077> 暗算日本記録保持者

//<0078> 通り魔
<0078> 通り魔

//<0079> 記憶ナシ男
<0079> 記憶ナシ男

//<0080> 音速
<0080> 音速

//<0081> 無限
<0081> 無限

//<0082> エロ侍
<0082> エロ侍

//<0083> エロエロ団ナンバー１
<0083> エロエロ団ナンバー１

//<0084> ただのエロ少年
<0084> ただのエロ少年

//<0085> ユリブサイク
<0085> ユリブサイク

//<0086> ドピュッシー
<0086> ドピュッシー

//<0087> アメリカンエロドッグ
<0087> アメリカンエロドッグ

//<0088> ゼウス
<0088> ゼウス

//<0089> 日向markⅡ
<0089> 日向markⅡ

//<0090> 糞虫
<0090> 糞虫

//<0091> 量産型日向
<0091> 量産型日向

//<0092> ？？
<0092> ？？

//<0093> 「………」
<0093> 「………」

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> nothing
<0096> nothing

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> 日向
<0099> 日向

//<0100> 男Ｂ
<0100> 男Ｂ

//<0101> エロエロ団総帥
<0101> エロエロ団総帥

//<0102> イケチン
<0102> イケチン

//<0103> ホモ太
<0103> ホモ太

//<0104> ひなチン
<0104> ひなチン

//<0105> 秀樹
<0105> 秀樹

//<0106> 男子生徒
<0106> 男子生徒

//<0107> ？？
<0107> ？？

//<0108> 「何小難しい顔で考えてんだよ、背中合わせになるんだよ」
<0108> 「何小難しい顔で考えてんだよ、背中合わせになるんだよ」

//<0109> 音無
<0109> 音無

//<0110> クソ坊主
<0110> クソ坊主

//<0111> 代理人
<0111> 代理人

//<0112> 微妙すぎるイケメン
<0112> 微妙すぎるイケメン

//<0113> ロリコン
<0113> ロリコン

//<0114> メガネ仲間
<0114> メガネ仲間

//<0115> 暗算日本記録保持者
<0115> 暗算日本記録保持者

//<0116> 通り魔
<0116> 通り魔

//<0117> 記憶ナシ男
<0117> 記憶ナシ男

//<0118> 音速
<0118> 音速

//<0119> 無限
<0119> 無限

//<0120> エロ侍
<0120> エロ侍

//<0121> エロエロ団ナンバー１
<0121> エロエロ団ナンバー１

//<0122> ただのエロ少年
<0122> ただのエロ少年

//<0123> ユリブサイク
<0123> ユリブサイク

//<0124> ドピュッシー
<0124> ドピュッシー

//<0125> アメリカンエロドッグ
<0125> アメリカンエロドッグ

//<0126> ゼウス
<0126> ゼウス

//<0127> 日向markⅡ
<0127> 日向markⅡ

//<0128> 糞虫
<0128> 糞虫

//<0129> 量産型日向
<0129> 量産型日向

//<0130> ？？
<0130> ？？

//<0131> 「………」
<0131> 「………」

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

