// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> 音無
<0002> 音無

//<0003> クソ坊主
<0003> クソ坊主

//<0004> 代理人
<0004> 代理人

//<0005> 微妙すぎるイケメン
<0005> 微妙すぎるイケメン

//<0006> ロリコン
<0006> ロリコン

//<0007> メガネ仲間
<0007> メガネ仲間

//<0008> 暗算日本記録保持者
<0008> 暗算日本記録保持者

//<0009> 通り魔
<0009> 通り魔

//<0010> 記憶ナシ男
<0010> 記憶ナシ男

//<0011> 音速
<0011> 音速

//<0012> 無限
<0012> 無限

//<0013> エロ侍
<0013> エロ侍

//<0014> エロエロ団ナンバー１
<0014> エロエロ団ナンバー１

//<0015> ただのエロ少年
<0015> ただのエロ少年

//<0016> ユリブサイク
<0016> ユリブサイク

//<0017> ドピュッシー
<0017> ドピュッシー

//<0018> アメリカンエロドッグ
<0018> アメリカンエロドッグ

//<0019> ゼウス
<0019> ゼウス

//<0020> 日向markⅡ
<0020> 日向markⅡ

//<0021> 糞虫
<0021> 糞虫

//<0022> 量産型日向
<0022> 量産型日向

//<0023> ？？
<0023> ？？

//<0024> 「はっ！！」
<0024> 「はっ！！」

//<0025> 目覚める。見覚えがある天井。保健室のようだった。
<0025> 目覚める。見覚えがある天井。保健室のようだった。

//<0026> 体を起こす。
<0026> 体を起こす。

//<0027> ゆり
<0027> ゆり

//<0028> 女生徒
<0028> 女生徒

//<0029> ？？
<0029> ？？

//<0030> 「お目覚め？」
<0030> 「お目覚め？」

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> 俺の声に気づいてか、ゆりが俺の隣までやって来た。
<0036> 俺の声に気づいてか、ゆりが俺の隣までやって来た。

//<0037> 音無
<0037> 音無

//<0038> クソ坊主
<0038> クソ坊主

//<0039> 代理人
<0039> 代理人

//<0040> 微妙すぎるイケメン
<0040> 微妙すぎるイケメン

//<0041> ロリコン
<0041> ロリコン

//<0042> メガネ仲間
<0042> メガネ仲間

//<0043> 暗算日本記録保持者
<0043> 暗算日本記録保持者

//<0044> 通り魔
<0044> 通り魔

//<0045> 記憶ナシ男
<0045> 記憶ナシ男

//<0046> 音速
<0046> 音速

//<0047> 無限
<0047> 無限

//<0048> エロ侍
<0048> エロ侍

//<0049> エロエロ団ナンバー１
<0049> エロエロ団ナンバー１

//<0050> ただのエロ少年
<0050> ただのエロ少年

//<0051> ユリブサイク
<0051> ユリブサイク

//<0052> ドピュッシー
<0052> ドピュッシー

//<0053> アメリカンエロドッグ
<0053> アメリカンエロドッグ

//<0054> ゼウス
<0054> ゼウス

//<0055> 日向markⅡ
<0055> 日向markⅡ

//<0056> 糞虫
<0056> 糞虫

//<0057> 量産型日向
<0057> 量産型日向

//<0058> ？？
<0058> ？？

//<0059> 「ゆりっ、あれからどうなったんだ！？」
<0059> 「ゆりっ、あれからどうなったんだ！？」

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> ゆり
<0065> ゆり

//<0066> 女生徒
<0066> 女生徒

//<0067> ？？
<0067> ？？

//<0068> 「作戦は残ったあたしたちで一応果たしたけど、たくさんの冷酷な分身の意識を吸い込んでしまった天使が、目覚めた時どういう状態かは、それこそ神のみぞ知る、ね」
<0068> 「作戦は残ったあたしたちで一応果たしたけど、たくさんの冷酷な分身の意識を吸い込んでしまった天使が、目覚めた時どういう状態かは、それこそ神のみぞ知る、ね」

//<0069> 音無
<0069> 音無

//<0070> クソ坊主
<0070> クソ坊主

//<0071> 代理人
<0071> 代理人

//<0072> 微妙すぎるイケメン
<0072> 微妙すぎるイケメン

//<0073> ロリコン
<0073> ロリコン

//<0074> メガネ仲間
<0074> メガネ仲間

//<0075> 暗算日本記録保持者
<0075> 暗算日本記録保持者

//<0076> 通り魔
<0076> 通り魔

//<0077> 記憶ナシ男
<0077> 記憶ナシ男

//<0078> 音速
<0078> 音速

//<0079> 無限
<0079> 無限

//<0080> エロ侍
<0080> エロ侍

//<0081> エロエロ団ナンバー１
<0081> エロエロ団ナンバー１

//<0082> ただのエロ少年
<0082> ただのエロ少年

//<0083> ユリブサイク
<0083> ユリブサイク

//<0084> ドピュッシー
<0084> ドピュッシー

//<0085> アメリカンエロドッグ
<0085> アメリカンエロドッグ

//<0086> ゼウス
<0086> ゼウス

//<0087> 日向markⅡ
<0087> 日向markⅡ

//<0088> 糞虫
<0088> 糞虫

//<0089> 量産型日向
<0089> 量産型日向

//<0090> ？？
<0090> ？？

//<0091> 「そうか…」
<0091> 「そうか…」

//<0092> 音無
<0092> 音無

//<0093> クソ坊主
<0093> クソ坊主

//<0094> 代理人
<0094> 代理人

//<0095> 微妙すぎるイケメン
<0095> 微妙すぎるイケメン

//<0096> ロリコン
<0096> ロリコン

//<0097> メガネ仲間
<0097> メガネ仲間

//<0098> 暗算日本記録保持者
<0098> 暗算日本記録保持者

//<0099> 通り魔
<0099> 通り魔

//<0100> 記憶ナシ男
<0100> 記憶ナシ男

//<0101> 音速
<0101> 音速

//<0102> 無限
<0102> 無限

//<0103> エロ侍
<0103> エロ侍

//<0104> エロエロ団ナンバー１
<0104> エロエロ団ナンバー１

//<0105> ただのエロ少年
<0105> ただのエロ少年

//<0106> ユリブサイク
<0106> ユリブサイク

//<0107> ドピュッシー
<0107> ドピュッシー

//<0108> アメリカンエロドッグ
<0108> アメリカンエロドッグ

//<0109> ゼウス
<0109> ゼウス

//<0110> 日向markⅡ
<0110> 日向markⅡ

//<0111> 糞虫
<0111> 糞虫

//<0112> 量産型日向
<0112> 量産型日向

//<0113> ？？
<0113> ？？

//<0114> 「そのかなでは！？」
<0114> 「そのかなでは！？」

//<0115> nothing
<0115> nothing

//<0116> nothing
<0116> nothing

