// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> すごい…。あれだけの罰ゲームを強いられ、筋肉痛も疲労感もない。
<0002> すごい…。あれだけの罰ゲームを強いられ、筋肉痛も疲労感もない。

//<0003> もちろん風邪も治っている。
<0003> もちろん風邪も治っている。

//<0004> いつもより元気なぐらいだ。この世界の治癒能力は凄まじい。
<0004> いつもより元気なぐらいだ。この世界の治癒能力は凄まじい。

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> 日向
<0010> 日向

//<0011> 男Ｂ
<0011> 男Ｂ

//<0012> エロエロ団総帥
<0012> エロエロ団総帥

//<0013> イケチン
<0013> イケチン

//<0014> ホモ太
<0014> ホモ太

//<0015> ひなチン
<0015> ひなチン

//<0016> 秀樹
<0016> 秀樹

//<0017> 男子生徒
<0017> 男子生徒

//<0018> ？？
<0018> ？？

//<0019> 「どうした音無ー、顔洗って着替えて、とっとと朝飯いくぞー」
<0019> 「どうした音無ー、顔洗って着替えて、とっとと朝飯いくぞー」

//<0020> 日向
<0020> 日向

//<0021> 男Ｂ
<0021> 男Ｂ

//<0022> エロエロ団総帥
<0022> エロエロ団総帥

//<0023> イケチン
<0023> イケチン

//<0024> ホモ太
<0024> ホモ太

//<0025> ひなチン
<0025> ひなチン

//<0026> 秀樹
<0026> 秀樹

//<0027> 男子生徒
<0027> 男子生徒

//<0028> ？？
<0028> ？？

//<0029> 「音無ぃー、顔洗って着替えて、とっとと朝飯いくぞー」
<0029> 「音無ぃー、顔洗って着替えて、とっとと朝飯いくぞー」

//<0030> 風邪はちゃんと治っている。この世界の治癒能力は凄まじい。
<0030> 風邪はちゃんと治っている。この世界の治癒能力は凄まじい。

//<0031> 日向
<0031> 日向

//<0032> 男Ｂ
<0032> 男Ｂ

//<0033> エロエロ団総帥
<0033> エロエロ団総帥

//<0034> イケチン
<0034> イケチン

//<0035> ホモ太
<0035> ホモ太

//<0036> ひなチン
<0036> ひなチン

//<0037> 秀樹
<0037> 秀樹

//<0038> 男子生徒
<0038> 男子生徒

//<0039> ？？
<0039> ？？

//<0040> 「おーい、音無ぃー」
<0040> 「おーい、音無ぃー」

//<0041> 音無
<0041> 音無

//<0042> クソ坊主
<0042> クソ坊主

//<0043> 代理人
<0043> 代理人

//<0044> 微妙すぎるイケメン
<0044> 微妙すぎるイケメン

//<0045> ロリコン
<0045> ロリコン

//<0046> メガネ仲間
<0046> メガネ仲間

//<0047> 暗算日本記録保持者
<0047> 暗算日本記録保持者

//<0048> 通り魔
<0048> 通り魔

//<0049> 記憶ナシ男
<0049> 記憶ナシ男

//<0050> 音速
<0050> 音速

//<0051> 無限
<0051> 無限

//<0052> エロ侍
<0052> エロ侍

//<0053> エロエロ団ナンバー１
<0053> エロエロ団ナンバー１

//<0054> ただのエロ少年
<0054> ただのエロ少年

//<0055> ユリブサイク
<0055> ユリブサイク

//<0056> ドピュッシー
<0056> ドピュッシー

//<0057> アメリカンエロドッグ
<0057> アメリカンエロドッグ

//<0058> ゼウス
<0058> ゼウス

//<0059> 日向markⅡ
<0059> 日向markⅡ

//<0060> 糞虫
<0060> 糞虫

//<0061> 量産型日向
<0061> 量産型日向

//<0062> ？？
<0062> ？？

//<0063> 「ああ、すぐ行く！」
<0063> 「ああ、すぐ行く！」

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> 日向
<0069> 日向

//<0070> 男Ｂ
<0070> 男Ｂ

//<0071> エロエロ団総帥
<0071> エロエロ団総帥

//<0072> イケチン
<0072> イケチン

//<0073> ホモ太
<0073> ホモ太

//<0074> ひなチン
<0074> ひなチン

//<0075> 秀樹
<0075> 秀樹

//<0076> 男子生徒
<0076> 男子生徒

//<0077> ？？
<0077> ？？

//<0078> 「さって、お前の今日の朝食はー！」
<0078> 「さって、お前の今日の朝食はー！」

//<0079> 日向が右ポケットをまさぐる。
<0079> 日向が右ポケットをまさぐる。

//<0080> 00_AB08a_day08
<0080> 00_AB08a_day08

//<0081> _食券暴く
<0081> _食券暴く

//<0082> 席につき、盆を置くが、それに載せられた料理を前にすると…。
<0082> 席につき、盆を置くが、それに載せられた料理を前にすると…。

//<0083> 音無
<0083> 音無

//<0084> クソ坊主
<0084> クソ坊主

//<0085> 代理人
<0085> 代理人

//<0086> 微妙すぎるイケメン
<0086> 微妙すぎるイケメン

//<0087> ロリコン
<0087> ロリコン

//<0088> メガネ仲間
<0088> メガネ仲間

//<0089> 暗算日本記録保持者
<0089> 暗算日本記録保持者

//<0090> 通り魔
<0090> 通り魔

//<0091> 記憶ナシ男
<0091> 記憶ナシ男

//<0092> 音速
<0092> 音速

//<0093> 無限
<0093> 無限

//<0094> エロ侍
<0094> エロ侍

//<0095> エロエロ団ナンバー１
<0095> エロエロ団ナンバー１

//<0096> ただのエロ少年
<0096> ただのエロ少年

//<0097> ユリブサイク
<0097> ユリブサイク

//<0098> ドピュッシー
<0098> ドピュッシー

//<0099> アメリカンエロドッグ
<0099> アメリカンエロドッグ

//<0100> ゼウス
<0100> ゼウス

//<0101> 日向markⅡ
<0101> 日向markⅡ

//<0102> 糞虫
<0102> 糞虫

//<0103> 量産型日向
<0103> 量産型日向

//<0104> ？？
<0104> ？？

//<0105> （重い…）
<0105> （重い…）

//<0106> でも今回はフェア。二枚目を引いてしまった自分のせいだ。食べるしかない。
<0106> でも今回はフェア。二枚目を引いてしまった自分のせいだ。食べるしかない。

//<0107> 音無
<0107> 音無

//<0108> クソ坊主
<0108> クソ坊主

//<0109> 代理人
<0109> 代理人

//<0110> 微妙すぎるイケメン
<0110> 微妙すぎるイケメン

//<0111> ロリコン
<0111> ロリコン

//<0112> メガネ仲間
