// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 掲示板で戦線メンバーの制服を着た女生徒がフライヤーを貼っていた。
<0005> 掲示板で戦線メンバーの制服を着た女生徒がフライヤーを貼っていた。

//<0006> 『明後日夜７時』と書かれているのを剥がして、『明日夜７時』と書かれているのを張り直している。
<0006> 『明後日夜７時』と書かれているのを剥がして、『明日夜７時』と書かれているのを張り直している。

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> 女生徒
<0012> 女生徒

//<0013> 「よっと、んしょ、ん…と…、よいしょっと」
<0013> 「よっと、んしょ、ん…と…、よいしょっと」

//<0014> 音無
<0014> 音無

//<0015> クソ坊主
<0015> クソ坊主

//<0016> 代理人
<0016> 代理人

//<0017> 微妙すぎるイケメン
<0017> 微妙すぎるイケメン

//<0018> ロリコン
<0018> ロリコン

//<0019> メガネ仲間
<0019> メガネ仲間

//<0020> 暗算日本記録保持者
<0020> 暗算日本記録保持者

//<0021> 通り魔
<0021> 通り魔

//<0022> 記憶ナシ男
<0022> 記憶ナシ男

//<0023> 音速
<0023> 音速

//<0024> 無限
<0024> 無限

//<0025> エロ侍
<0025> エロ侍

//<0026> エロエロ団ナンバー１
<0026> エロエロ団ナンバー１

//<0027> ただのエロ少年
<0027> ただのエロ少年

//<0028> ユリブサイク
<0028> ユリブサイク

//<0029> ドピュッシー
<0029> ドピュッシー

//<0030> アメリカンエロドッグ
<0030> アメリカンエロドッグ

//<0031> ゼウス
<0031> ゼウス

//<0032> 日向markⅡ
<0032> 日向markⅡ

//<0033> 糞虫
<0033> 糞虫

//<0034> 量産型日向
<0034> 量産型日向

//<0035> ？？
<0035> ？？

//<0036> 「明日の陽動の告知かー」
<0036> 「明日の陽動の告知かー」

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> 女生徒
<0042> 女生徒

//<0043> 「わっ！」
<0043> 「わっ！」

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> 驚いて俺のほうを振り向くと、ホッとしたように息を吐く。
<0049> 驚いて俺のほうを振り向くと、ホッとしたように息を吐く。

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> nothing
<0054> nothing

//<0055> 女生徒
<0055> 女生徒

//<0056> 「あー、あなたでしたか」
<0056> 「あー、あなたでしたか」

//<0057> 音無
<0057> 音無

//<0058> クソ坊主
<0058> クソ坊主

//<0059> 代理人
<0059> 代理人

//<0060> 微妙すぎるイケメン
<0060> 微妙すぎるイケメン

//<0061> ロリコン
<0061> ロリコン

//<0062> メガネ仲間
<0062> メガネ仲間

//<0063> 暗算日本記録保持者
<0063> 暗算日本記録保持者

//<0064> 通り魔
<0064> 通り魔

//<0065> 記憶ナシ男
<0065> 記憶ナシ男

//<0066> 音速
<0066> 音速

//<0067> 無限
<0067> 無限

//<0068> エロ侍
<0068> エロ侍

//<0069> エロエロ団ナンバー１
<0069> エロエロ団ナンバー１

//<0070> ただのエロ少年
<0070> ただのエロ少年

//<0071> ユリブサイク
<0071> ユリブサイク

//<0072> ドピュッシー
<0072> ドピュッシー

//<0073> アメリカンエロドッグ
