// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> 04_岩沢ルート
<0002> 04_岩沢ルート

//<0003> 音無
<0003> 音無

//<0004> クソ坊主
<0004> クソ坊主

//<0005> 代理人
<0005> 代理人

//<0006> 微妙すぎるイケメン
<0006> 微妙すぎるイケメン

//<0007> ロリコン
<0007> ロリコン

//<0008> メガネ仲間
<0008> メガネ仲間

//<0009> 暗算日本記録保持者
<0009> 暗算日本記録保持者

//<0010> 通り魔
<0010> 通り魔

//<0011> 記憶ナシ男
<0011> 記憶ナシ男

//<0012> 音速
<0012> 音速

//<0013> 無限
<0013> 無限

//<0014> エロ侍
<0014> エロ侍

//<0015> エロエロ団ナンバー１
<0015> エロエロ団ナンバー１

//<0016> ただのエロ少年
<0016> ただのエロ少年

//<0017> ユリブサイク
<0017> ユリブサイク

//<0018> ドピュッシー
<0018> ドピュッシー

//<0019> アメリカンエロドッグ
<0019> アメリカンエロドッグ

//<0020> ゼウス
<0020> ゼウス

//<0021> 日向markⅡ
<0021> 日向markⅡ

//<0022> 糞虫
<0022> 糞虫

//<0023> 量産型日向
<0023> 量産型日向

//<0024> ？？
<0024> ？？

//<0025> 「おはよ」
<0025> 「おはよ」

//<0026> 日向
<0026> 日向

//<0027> 男Ｂ
<0027> 男Ｂ

//<0028> エロエロ団総帥
<0028> エロエロ団総帥

//<0029> イケチン
<0029> イケチン

//<0030> ホモ太
<0030> ホモ太

//<0031> ひなチン
<0031> ひなチン

//<0032> 秀樹
<0032> 秀樹

//<0033> 男子生徒
<0033> 男子生徒

//<0034> ？？
<0034> ？？

//<0035> 「おう、おはよ」
<0035> 「おう、おはよ」

//<0036> いつものように、青空が広がっていた。
<0036> いつものように、青空が広がっていた。

//<0037> 音無
<0037> 音無

//<0038> クソ坊主
<0038> クソ坊主

//<0039> 代理人
<0039> 代理人

//<0040> 微妙すぎるイケメン
<0040> 微妙すぎるイケメン

//<0041> ロリコン
<0041> ロリコン

//<0042> メガネ仲間
<0042> メガネ仲間

//<0043> 暗算日本記録保持者
<0043> 暗算日本記録保持者

//<0044> 通り魔
<0044> 通り魔

//<0045> 記憶ナシ男
<0045> 記憶ナシ男

//<0046> 音速
<0046> 音速

//<0047> 無限
<0047> 無限

//<0048> エロ侍
<0048> エロ侍

//<0049> エロエロ団ナンバー１
<0049> エロエロ団ナンバー１

//<0050> ただのエロ少年
<0050> ただのエロ少年

//<0051> ユリブサイク
<0051> ユリブサイク

//<0052> ドピュッシー
<0052> ドピュッシー

//<0053> アメリカンエロドッグ
<0053> アメリカンエロドッグ

//<0054> ゼウス
<0054> ゼウス

//<0055> 日向markⅡ
<0055> 日向markⅡ

//<0056> 糞虫
<0056> 糞虫

//<0057> 量産型日向
<0057> 量産型日向

//<0058> ？？
<0058> ？？

//<0059> 「そういやこの世界って、雨降るのか？」
<0059> 「そういやこの世界って、雨降るのか？」

//<0060> ふと気になって、日向に訊いてみる。
<0060> ふと気になって、日向に訊いてみる。

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> 日向
<0066> 日向

//<0067> 男Ｂ
<0067> 男Ｂ

//<0068> エロエロ団総帥
<0068> エロエロ団総帥

//<0069> イケチン
<0069> イケチン

//<0070> ホモ太
<0070> ホモ太

//<0071> ひなチン
<0071> ひなチン

//<0072> 秀樹
<0072> 秀樹

//<0073> 男子生徒
<0073> 男子生徒

//<0074> ？？
<0074> ？？

//<0075> 「ふつーに降るぜ？　梅雨になったら、ほぼ毎日雨。うんざりするぜ」
<0075> 「ふつーに降るぜ？　梅雨になったら、ほぼ毎日雨。うんざりするぜ」

//<0076> 白
<0076> 白

//<0077> nothing
<0077> nothing

//<0078> nothing
<0078> nothing

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> ゆり
<0082> ゆり

//<0083> 女生徒
<0083> 女生徒

//<0084> ？？
<0084> ？？

//<0085> 「正解。ちゃんと移ろうわよ。今は春。夏には雨が、冬には雪が降るわ」
<0085> 「正解。ちゃんと移ろうわよ。今は春。夏には雨が、冬には雪が降るわ」

//<0086> 音無
<0086> 音無

//<0087> クソ坊主
<0087> クソ坊主

//<0088> 代理人
<0088> 代理人

//<0089> 微妙すぎるイケメン
<0089> 微妙すぎるイケメン

//<0090> ロリコン
<0090> ロリコン

//<0091> メガネ仲間
<0091> メガネ仲間

//<0092> 暗算日本記録保持者
<0092> 暗算日本記録保持者

//<0093> 通り魔
<0093> 通り魔

//<0094> 記憶ナシ男
<0094> 記憶ナシ男

//<0095> 音速
<0095> 音速

//<0096> 無限
<0096> 無限

//<0097> エロ侍
<0097> エロ侍

//<0098> エロエロ団ナンバー１
<0098> エロエロ団ナンバー１

//<0099> ただのエロ少年
<0099> ただのエロ少年

//<0100> ユリブサイク
<0100> ユリブサイク

//<0101> ドピュッシー
<0101> ドピュッシー

//<0102> アメリカンエロドッグ
<0102> アメリカンエロドッグ

//<0103> ゼウス
<0103> ゼウス

//<0104> 日向markⅡ
<0104> 日向markⅡ

//<0105> 糞虫
<0105> 糞虫

//<0106> 量産型日向
<0106> 量産型日向

//<0107> ？？
<0107> ？？

//<0108> 「雪まで降るのか…」
<0108> 「雪まで降るのか…」

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> ゆり
<0114> ゆり

//<0115> 女生徒
<0115> 女生徒

//<0116> ？？
<0116> ？？

//<0117> 「生きていた時そのままを再現した世界でないと意味がないんでしょ」
<0117> 「生きていた時そのままを再現した世界でないと意味がないんでしょ」

//<0118> nothing
<0118> nothing

//<0119> 
<0119> 

//<0120> 
<0120> 

//<0121> nothing
