// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 岩沢はまた作曲中で居た。
<0005> 岩沢はまた作曲中で居た。

//<0006> se_wooddoor_open2
<0006> se_wooddoor_open2
{06b3} 0a // 0006

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> 俺は構わずに、中に入る。
<0013> 俺は構わずに、中に入る。

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> 岩沢
<0019> 岩沢

//<0020> 「どうした？」
<0020> 「どうした？」

//<0021> 音無
<0021> 音無

//<0022> クソ坊主
<0022> クソ坊主

//<0023> 代理人
<0023> 代理人

//<0024> 微妙すぎるイケメン
<0024> 微妙すぎるイケメン

//<0025> ロリコン
<0025> ロリコン

//<0026> メガネ仲間
<0026> メガネ仲間

//<0027> 暗算日本記録保持者
<0027> 暗算日本記録保持者

//<0028> 通り魔
<0028> 通り魔

//<0029> 記憶ナシ男
<0029> 記憶ナシ男

//<0030> 音速
<0030> 音速

//<0031> 無限
<0031> 無限

//<0032> エロ侍
<0032> エロ侍

//<0033> エロエロ団ナンバー１
<0033> エロエロ団ナンバー１

//<0034> ただのエロ少年
<0034> ただのエロ少年

//<0035> ユリブサイク
<0035> ユリブサイク

//<0036> ドピュッシー
<0036> ドピュッシー

//<0037> アメリカンエロドッグ
<0037> アメリカンエロドッグ

//<0038> ゼウス
<0038> ゼウス

//<0039> 日向markⅡ
<0039> 日向markⅡ

//<0040> 糞虫
<0040> 糞虫

//<0041> 量産型日向
<0041> 量産型日向

//<0042> ？？
<0042> ？？

//<0043> 「…ちょっと、夢を見たんだ」
<0043> 「…ちょっと、夢を見たんだ」

//<0044> 音無
<0044> 音無

//<0045> クソ坊主
<0045> クソ坊主

//<0046> 代理人
<0046> 代理人

//<0047> 微妙すぎるイケメン
<0047> 微妙すぎるイケメン

//<0048> ロリコン
<0048> ロリコン

//<0049> メガネ仲間
<0049> メガネ仲間

//<0050> 暗算日本記録保持者
<0050> 暗算日本記録保持者

//<0051> 通り魔
<0051> 通り魔

//<0052> 記憶ナシ男
<0052> 記憶ナシ男

//<0053> 音速
<0053> 音速

//<0054> 無限
<0054> 無限

//<0055> エロ侍
<0055> エロ侍

//<0056> エロエロ団ナンバー１
<0056> エロエロ団ナンバー１

//<0057> ただのエロ少年
<0057> ただのエロ少年

//<0058> ユリブサイク
<0058> ユリブサイク

//<0059> ドピュッシー
<0059> ドピュッシー

//<0060> アメリカンエロドッグ
<0060> アメリカンエロドッグ

//<0061> ゼウス
<0061> ゼウス

//<0062> 日向markⅡ
<0062> 日向markⅡ

//<0063> 糞虫
<0063> 糞虫

//<0064> 量産型日向
<0064> 量産型日向

//<0065> ？？
<0065> ？？

//<0066> 「知ってんだろ、俺が記憶喪失ってこと。なのに夢を見た」
<0066> 「知ってんだろ、俺が記憶喪失ってこと。なのに夢を見た」

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> 岩沢
<0072> 岩沢

//<0073> 「まだ戻らないのか？」
<0073> 「まだ戻らないのか？」

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> nothing
