// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
<0000> 天使

//<0001> かなで
<0001> かなで

//<0002> 女生徒
<0002> 女生徒

//<0003> ？？
<0003> ？？

//<0004> 「何してるの、もうすぐ授業よ？」
<0004> 「何してるの、もうすぐ授業よ？」

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> 出た！　天使だ！
<0010> 出た！　天使だ！

//<0011> 反射的に身構えるが、天使は俺をじっと見つめたまま動かない。
<0011> 反射的に身構えるが、天使は俺をじっと見つめたまま動かない。

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> 天使
<0017> 天使

//<0018> かなで
<0018> かなで

//<0019> 女生徒
<0019> 女生徒

//<0020> ？？
<0020> ？？

//<0021> 「大人しく寮に戻って、横になりなさい」
<0021> 「大人しく寮に戻って、横になりなさい」

//<0022> 野田から受けた怪我を見ての言葉のようだ。
<0022> 野田から受けた怪我を見ての言葉のようだ。

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> こちらの返事を待たず、天使は去っていった。
<0029> こちらの返事を待たず、天使は去っていった。

//<0030> どうする！？
<0030> どうする！？

//<0031> 授業を受ける
<0031> 授業を受ける

//<0032> 逃げる
<0032> 逃げる

//<0033> 戦う
<0033> 戦う

//<0034> selbtn : 
<0034> selbtn : 

//<0035> 01_かなで
<0035> 01_かなで

//<0036> _00
<0036> _00

//<0037> 俺は何も言わず、体を反転させ、全力で走る。
<0037> 俺は何も言わず、体を反転させ、全力で走る。

//<0038> 白
<0038> 白
{1842} 0a // 0038

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> ゆり
<0044> ゆり

//<0045> 女生徒
<0045> 女生徒

//<0046> ？？
<0046> ？？

//<0047> 「模範通りに校内活動を行わない生徒に対しては、まず口頭注意。逃げれば追ってくるし、先回りして行く手を阻む」
<0047> 「模範通りに校内活動を行わない生徒に対しては、まず口頭注意。逃げれば追ってくるし、先回りして行く手を阻む」

//<0048> そう言われてるだけに、懸命だ。
<0048> そう言われてるだけに、懸命だ。

//<0049> 逃げ切れるか！？
<0049> 逃げ切れるか！？

//<0050> 階段は一気に踊り場まで跳んだ。
<0050> 階段は一気に踊り場まで跳んだ。

//<0051> さらに階下へと跳ぶ。
<0051> さらに階下へと跳ぶ。

//<0052> そのまま廊下を駆け抜け、表に出る。
<0052> そのまま廊下を駆け抜け、表に出る。

//<0053> se_chime
<0053> se_chime

//<0054> と同時にチャイムが鳴る。
<0054> と同時にチャイムが鳴る。

//<0055> 音無
<0055> 音無

//<0056> クソ坊主
<0056> クソ坊主

//<0057> 代理人
<0057> 代理人

//<0058> 微妙すぎるイケメン
<0058> 微妙すぎるイケメン

//<0059> ロリコン
<0059> ロリコン

//<0060> メガネ仲間
<0060> メガネ仲間

//<0061> 暗算日本記録保持者
<0061> 暗算日本記録保持者

//<0062> 通り魔
<0062> 通り魔

//<0063> 記憶ナシ男
<0063> 記憶ナシ男

//<0064> 音速
<0064> 音速

//<0065> 無限
<0065> 無限

//<0066> エロ侍
<0066> エロ侍

