// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
<0000> 天使

//<0001> かなで
<0001> かなで

//<0002> 女生徒
<0002> 女生徒

//<0003> ？？
<0003> ？？

//<0004> 「何してるの、もうすぐ授業よ？」
<0004> 「何してるの、もうすぐ授業よ？」

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> 出た！　天使だ！
<0010> 出た！　天使だ！

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> 天使
<0016> 天使

//<0017> かなで
<0017> かなで

//<0018> 女生徒
<0018> 女生徒

//<0019> ？？
<0019> ？？

//<0020> 「それよりも、保健室に行くべきね」
<0020> 「それよりも、保健室に行くべきね」

//<0021> 野田に切り刻まれた、俺の姿を見て言う。
<0021> 野田に切り刻まれた、俺の姿を見て言う。

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> 天使
<0027> 天使

//<0028> かなで
<0028> かなで

//<0029> 女生徒
<0029> 女生徒

//<0030> ？？
<0030> ？？

//<0031> 「行ってね」
<0031> 「行ってね」

//<0032> 音無
<0032> 音無

//<0033> クソ坊主
<0033> クソ坊主

//<0034> 代理人
<0034> 代理人

//<0035> 微妙すぎるイケメン
<0035> 微妙すぎるイケメン

//<0036> ロリコン
<0036> ロリコン

//<0037> メガネ仲間
<0037> メガネ仲間

//<0038> 暗算日本記録保持者
<0038> 暗算日本記録保持者

//<0039> 通り魔
<0039> 通り魔

//<0040> 記憶ナシ男
<0040> 記憶ナシ男

//<0041> 音速
<0041> 音速

//<0042> 無限
<0042> 無限

//<0043> エロ侍
<0043> エロ侍

//<0044> エロエロ団ナンバー１
<0044> エロエロ団ナンバー１

//<0045> ただのエロ少年
<0045> ただのエロ少年

//<0046> ユリブサイク
<0046> ユリブサイク

//<0047> ドピュッシー
<0047> ドピュッシー

//<0048> アメリカンエロドッグ
<0048> アメリカンエロドッグ

//<0049> ゼウス
<0049> ゼウス

//<0050> 日向markⅡ
<0050> 日向markⅡ

//<0051> 糞虫
<0051> 糞虫

//<0052> 量産型日向
<0052> 量産型日向

//<0053> ？？
<0053> ？？

//<0054> 「あ、ああ…」
<0054> 「あ、ああ…」

//<0055> nothing
<0055> nothing

//<0056> nothing
<0056> nothing

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> 天使が去っていく。
<0061> 天使が去っていく。

//<0062> どうやら、難を逃れられたようだ…。
<0062> どうやら、難を逃れられたようだ…。

//<0063> 音無
<0063> 音無

//<0064> クソ坊主
<0064> クソ坊主

//<0065> 代理人
<0065> 代理人

//<0066> 微妙すぎるイケメン
<0066> 微妙すぎるイケメン

//<0067> ロリコン
<0067> ロリコン

//<0068> メガネ仲間
<0068> メガネ仲間

//<0069> 暗算日本記録保持者
<0069> 暗算日本記録保持者

//<0070> 通り魔
<0070> 通り魔

//<0071> 記憶ナシ男
<0071> 記憶ナシ男

//<0072> 音速
<0072> 音速

//<0073> 無限
<0073> 無限

//<0074> エロ侍
<0074> エロ侍

//<0075> エロエロ団ナンバー１
<0075> エロエロ団ナンバー１

//<0076> ただのエロ少年
<0076> ただのエロ少年

