// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> 04_岩沢
<0002> 04_岩沢

//<0003> _12
<0003> _12

//<0004> 音無
<0004> 音無

//<0005> クソ坊主
<0005> クソ坊主

//<0006> 代理人
<0006> 代理人

//<0007> 微妙すぎるイケメン
<0007> 微妙すぎるイケメン

//<0008> ロリコン
<0008> ロリコン

//<0009> メガネ仲間
<0009> メガネ仲間

//<0010> 暗算日本記録保持者
<0010> 暗算日本記録保持者

//<0011> 通り魔
<0011> 通り魔

//<0012> 記憶ナシ男
<0012> 記憶ナシ男

//<0013> 音速
<0013> 音速

//<0014> 無限
<0014> 無限

//<0015> エロ侍
<0015> エロ侍

//<0016> エロエロ団ナンバー１
<0016> エロエロ団ナンバー１

//<0017> ただのエロ少年
<0017> ただのエロ少年

//<0018> ユリブサイク
<0018> ユリブサイク

//<0019> ドピュッシー
<0019> ドピュッシー

//<0020> アメリカンエロドッグ
<0020> アメリカンエロドッグ

//<0021> ゼウス
<0021> ゼウス

//<0022> 日向markⅡ
<0022> 日向markⅡ

//<0023> 糞虫
<0023> 糞虫

//<0024> 量産型日向
<0024> 量産型日向

//<0025> ？？
<0025> ？？

//<0026> 「はっ！！」
<0026> 「はっ！！」

//<0027> 俺は何かから逃げるように目覚めた。
<0027> 俺は何かから逃げるように目覚めた。

//<0028> まず周りを見渡す。
<0028> まず周りを見渡す。

//<0029> どこだ…？
<0029> どこだ…？

//<0030> ここは…風呂場…。
<0030> ここは…風呂場…。

//<0031> ひとりきり…。
<0031> ひとりきり…。

//<0032> しかも俺は素っ裸…。
<0032> しかも俺は素っ裸…。

//<0033> 音無
<0033> 音無

//<0034> クソ坊主
<0034> クソ坊主

//<0035> 代理人
<0035> 代理人

//<0036> 微妙すぎるイケメン
<0036> 微妙すぎるイケメン

//<0037> ロリコン
<0037> ロリコン

//<0038> メガネ仲間
<0038> メガネ仲間

//<0039> 暗算日本記録保持者
<0039> 暗算日本記録保持者

//<0040> 通り魔
<0040> 通り魔

//<0041> 記憶ナシ男
<0041> 記憶ナシ男

//<0042> 音速
<0042> 音速

//<0043> 無限
<0043> 無限

//<0044> エロ侍
<0044> エロ侍

//<0045> エロエロ団ナンバー１
<0045> エロエロ団ナンバー１

//<0046> ただのエロ少年
<0046> ただのエロ少年

//<0047> ユリブサイク
<0047> ユリブサイク

//<0048> ドピュッシー
<0048> ドピュッシー

//<0049> アメリカンエロドッグ
<0049> アメリカンエロドッグ

//<0050> ゼウス
<0050> ゼウス

//<0051> 日向markⅡ
<0051> 日向markⅡ

//<0052> 糞虫
<0052> 糞虫

//<0053> 量産型日向
<0053> 量産型日向

//<0054> ？？
<0054> ？？

//<0055> （一体俺に何があったんだ…）
<0055> （一体俺に何があったんだ…）

//<0056> 音無
<0056> 音無

//<0057> クソ坊主
<0057> クソ坊主

//<0058> 代理人
<0058> 代理人

//<0059> 微妙すぎるイケメン
<0059> 微妙すぎるイケメン

//<0060> ロリコン
<0060> ロリコン

//<0061> メガネ仲間
<0061> メガネ仲間

//<0062> 暗算日本記録保持者
<0062> 暗算日本記録保持者

//<0063> 通り魔
<0063> 通り魔

//<0064> 記憶ナシ男
<0064> 記憶ナシ男

//<0065> 音速
<0065> 音速

//<0066> 無限
<0066> 無限

//<0067> エロ侍
<0067> エロ侍

//<0068> エロエロ団ナンバー１
<0068> エロエロ団ナンバー１

//<0069> ただのエロ少年
<0069> ただのエロ少年

//<0070> ユリブサイク
<0070> ユリブサイク

//<0071> ドピュッシー
<0071> ドピュッシー

//<0072> アメリカンエロドッグ
<0072> アメリカンエロドッグ

//<0073> ゼウス
<0073> ゼウス

//<0074> 日向markⅡ
<0074> 日向markⅡ

//<0075> 糞虫
<0075> 糞虫

//<0076> 量産型日向
<0076> 量産型日向

//<0077> ？？
<0077> ？？

//<0078> 「くしゅんっ！」
<0078> 「くしゅんっ！」

//<0079> 体が完全に冷え切っていた…。
<0079> 体が完全に冷え切っていた…。

//<0080> 音無
<0080> 音無

//<0081> クソ坊主
<0081> クソ坊主

//<0082> 代理人
<0082> 代理人

//<0083> 微妙すぎるイケメン
<0083> 微妙すぎるイケメン

//<0084> ロリコン
<0084> ロリコン

//<0085> メガネ仲間
<0085> メガネ仲間

//<0086> 暗算日本記録保持者
<0086> 暗算日本記録保持者

//<0087> 通り魔
<0087> 通り魔

//<0088> 記憶ナシ男
<0088> 記憶ナシ男

//<0089> 音速
<0089> 音速

//<0090> 無限
<0090> 無限

//<0091> エロ侍
<0091> エロ侍

//<0092> エロエロ団ナンバー１
<0092> エロエロ団ナンバー１

//<0093> ただのエロ少年
<0093> ただのエロ少年

//<0094> ユリブサイク
<0094> ユリブサイク

//<0095> ドピュッシー
<0095> ドピュッシー

//<0096> アメリカンエロドッグ
<0096> アメリカンエロドッグ

//<0097> ゼウス
<0097> ゼウス

//<0098> 日向markⅡ
<0098> 日向markⅡ

//<0099> 糞虫
<0099> 糞虫

//<0100> 量産型日向
<0100> 量産型日向

//<0101> ？？
<0101> ？？

//<0102> 「くしゅんっ！」
<0102> 「くしゅんっ！」

//<0103> またくしゃみをしてしまう。
<0103> またくしゃみをしてしまう。

//<0104> これは風邪…？
<0104> これは風邪…？

//<0105> 一晩寝れば治る世界だが、朝からだと、さすがに今日中には治らないのでは…？
<0105> 一晩寝れば治る世界だが、朝からだと、さすがに今日中には治らないのでは…？

//<0106> 戦線の制服の着替えがロッカーに入っていた。
<0106> 戦線の制服の着替えがロッカーに入っていた。

//<0107> ということは、何かアクシデントに見舞われ、ここで朝を迎えた、ということになる…。
<0107> ということは、何かアクシデントに見舞われ、ここで朝を迎えた、ということになる…。

//<0108> とりあえず着替えて、部屋に戻ることにする。
<0108> とりあえず着替えて、部屋に戻ることにする。

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> nothing
<0112> nothing

