// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> ひさ子
<0005> ひさ子

//<0006> 「またあたしにかよ…」
<0006> 「またあたしにかよ…」

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> 練習中の手を止めさせてしまう。
<0012> 練習中の手を止めさせてしまう。

//<0013> 音無
<0013> 音無

//<0014> クソ坊主
<0014> クソ坊主

//<0015> 代理人
<0015> 代理人

//<0016> 微妙すぎるイケメン
<0016> 微妙すぎるイケメン

//<0017> ロリコン
<0017> ロリコン

//<0018> メガネ仲間
<0018> メガネ仲間

//<0019> 暗算日本記録保持者
<0019> 暗算日本記録保持者

//<0020> 通り魔
<0020> 通り魔

//<0021> 記憶ナシ男
<0021> 記憶ナシ男

//<0022> 音速
<0022> 音速

//<0023> 無限
<0023> 無限

//<0024> エロ侍
<0024> エロ侍

//<0025> エロエロ団ナンバー１
<0025> エロエロ団ナンバー１

//<0026> ただのエロ少年
<0026> ただのエロ少年

//<0027> ユリブサイク
<0027> ユリブサイク

//<0028> ドピュッシー
<0028> ドピュッシー

//<0029> アメリカンエロドッグ
<0029> アメリカンエロドッグ

//<0030> ゼウス
<0030> ゼウス

//<0031> 日向markⅡ
<0031> 日向markⅡ

//<0032> 糞虫
<0032> 糞虫

//<0033> 量産型日向
<0033> 量産型日向

//<0034> ？？
<0034> ？？

//<0035> 「ああ。もうちょっと話を聞けたらと思ってな。また来てみた」
<0035> 「ああ。もうちょっと話を聞けたらと思ってな。また来てみた」

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> ひさ子
<0041> ひさ子

//<0042> 「会っていきなり話せるようなもんじゃないって言ったろ」
<0042> 「会っていきなり話せるようなもんじゃないって言ったろ」

//<0043> 音無
<0043> 音無

//<0044> クソ坊主
<0044> クソ坊主

//<0045> 代理人
<0045> 代理人

//<0046> 微妙すぎるイケメン
<0046> 微妙すぎるイケメン

//<0047> ロリコン
<0047> ロリコン

//<0048> メガネ仲間
<0048> メガネ仲間

//<0049> 暗算日本記録保持者
<0049> 暗算日本記録保持者

//<0050> 通り魔
<0050> 通り魔

//<0051> 記憶ナシ男
<0051> 記憶ナシ男

//<0052> 音速
<0052> 音速

//<0053> 無限
<0053> 無限

//<0054> エロ侍
<0054> エロ侍

//<0055> エロエロ団ナンバー１
<0055> エロエロ団ナンバー１

//<0056> ただのエロ少年
<0056> ただのエロ少年

//<0057> ユリブサイク
<0057> ユリブサイク

//<0058> ドピュッシー
<0058> ドピュッシー

//<0059> アメリカンエロドッグ
<0059> アメリカンエロドッグ

//<0060> ゼウス
<0060> ゼウス

//<0061> 日向markⅡ
<0061> 日向markⅡ

//<0062> 糞虫
<0062> 糞虫

//<0063> 量産型日向
<0063> 量産型日向

//<0064> ？？
<0064> ？？

//<0065> 「ああ、それをしつこく聞こうとして、怒らせてしまった」
<0065> 「ああ、それをしつこく聞こうとして、怒らせてしまった」

//<0066> 音無
<0066> 音無

//<0067> クソ坊主
<0067> クソ坊主

//<0068> 代理人
<0068> 代理人

//<0069> 微妙すぎるイケメン
<0069> 微妙すぎるイケメン

//<0070> ロリコン
<0070> ロリコン

//<0071> メガネ仲間
<0071> メガネ仲間

//<0072> 暗算日本記録保持者
<0072> 暗算日本記録保持者

//<0073> 通り魔
<0073> 通り魔

