// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> いつものようにこの時間は岩沢は曲作り。
<0005> いつものようにこの時間は岩沢は曲作り。

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> 邪魔しないように見ていたつもりが、気づかれ、ギターをつま弾く指が止まった。
<0011> 邪魔しないように見ていたつもりが、気づかれ、ギターをつま弾く指が止まった。

//<0012> 来い、と手招く。
<0012> 来い、と手招く。

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> se_wooddoor_open2
<0019> se_wooddoor_open2

//<0020> 教室に入る。
<0020> 教室に入る。

//<0021> nothing
<0021> nothing

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> 岩沢
<0026> 岩沢

//<0027> 「何見てんだ？　入ってくればいいじゃないか」
<0027> 「何見てんだ？　入ってくればいいじゃないか」

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> 最初にここを訪れた時のことを考えれば、かなり心を開いてくれているのかもしれない。
<0033> 最初にここを訪れた時のことを考えれば、かなり心を開いてくれているのかもしれない。

//<0034> 作曲の手を止めて、俺を迎え入れてくれるなんて。
<0034> 作曲の手を止めて、俺を迎え入れてくれるなんて。

//<0035> 本当に、このまま仲を深めていけるのかもしれない。
<0035> 本当に、このまま仲を深めていけるのかもしれない。

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> 岩沢
<0041> 岩沢

//<0042> 「筋肉痛、なかったろ？」
<0042> 「筋肉痛、なかったろ？」

//<0043> 音無
<0043> 音無

//<0044> クソ坊主
<0044> クソ坊主

//<0045> 代理人
<0045> 代理人

//<0046> 微妙すぎるイケメン
<0046> 微妙すぎるイケメン

//<0047> ロリコン
<0047> ロリコン

//<0048> メガネ仲間
<0048> メガネ仲間

//<0049> 暗算日本記録保持者
<0049> 暗算日本記録保持者

//<0050> 通り魔
<0050> 通り魔

//<0051> 記憶ナシ男
<0051> 記憶ナシ男

//<0052> 音速
<0052> 音速

//<0053> 無限
<0053> 無限

//<0054> エロ侍
<0054> エロ侍

//<0055> エロエロ団ナンバー１
<0055> エロエロ団ナンバー１

//<0056> ただのエロ少年
<0056> ただのエロ少年

//<0057> ユリブサイク
<0057> ユリブサイク

//<0058> ドピュッシー
<0058> ドピュッシー

//<0059> アメリカンエロドッグ
<0059> アメリカンエロドッグ

//<0060> ゼウス
<0060> ゼウス

//<0061> 日向markⅡ
<0061> 日向markⅡ

//<0062> 糞虫
<0062> 糞虫

//<0063> 量産型日向
<0063> 量産型日向

//<0064> ？？
<0064> ？？

//<0065> 「ああ、お前らの言う通りだった」
<0065> 「ああ、お前らの言う通りだった」

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> 岩沢
<0071> 岩沢

//<0072> 「今日はさ、あたしから訊きたいことがあるんだ」
<0072> 「今日はさ、あたしから訊きたいことがあるんだ」

