// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> また作曲をしていた。
<0005> また作曲をしていた。

//<0006> se_wooddoor_open2
<0006> se_wooddoor_open2

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> 危なく思い、中に入った。
<0013> 危なく思い、中に入った。

//<0014> 音無
<0014> 音無

//<0015> クソ坊主
<0015> クソ坊主

//<0016> 代理人
<0016> 代理人

//<0017> 微妙すぎるイケメン
<0017> 微妙すぎるイケメン

//<0018> ロリコン
<0018> ロリコン

//<0019> メガネ仲間
<0019> メガネ仲間

//<0020> 暗算日本記録保持者
<0020> 暗算日本記録保持者

//<0021> 通り魔
<0021> 通り魔

//<0022> 記憶ナシ男
<0022> 記憶ナシ男

//<0023> 音速
<0023> 音速

//<0024> 無限
<0024> 無限

//<0025> エロ侍
<0025> エロ侍

//<0026> エロエロ団ナンバー１
<0026> エロエロ団ナンバー１

//<0027> ただのエロ少年
<0027> ただのエロ少年

//<0028> ユリブサイク
<0028> ユリブサイク

//<0029> ドピュッシー
<0029> ドピュッシー

//<0030> アメリカンエロドッグ
<0030> アメリカンエロドッグ

//<0031> ゼウス
<0031> ゼウス

//<0032> 日向markⅡ
<0032> 日向markⅡ

//<0033> 糞虫
<0033> 糞虫

//<0034> 量産型日向
<0034> 量産型日向

//<0035> ？？
<0035> ？？

//<0036> 「おいおい、こんなところでひとりで居ると危ないぜ？」
<0036> 「おいおい、こんなところでひとりで居ると危ないぜ？」

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> 岩沢
<0042> 岩沢

//<0043> 「日曜だから、大丈夫だって、お前、新入りをパシらせてたじゃないか」
<0043> 「日曜だから、大丈夫だって、お前、新入りをパシらせてたじゃないか」

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> 岩沢
<0049> 岩沢

//<0050> 「今日は日曜だから、問題ないはずだろ？」
<0050> 「今日は日曜だから、問題ないはずだろ？」

//<0051> 音無
<0051> 音無

//<0052> クソ坊主
<0052> クソ坊主

//<0053> 代理人
<0053> 代理人

//<0054> 微妙すぎるイケメン
<0054> 微妙すぎるイケメン

//<0055> ロリコン
<0055> ロリコン

//<0056> メガネ仲間
<0056> メガネ仲間

//<0057> 暗算日本記録保持者
<0057> 暗算日本記録保持者

//<0058> 通り魔
<0058> 通り魔

//<0059> 記憶ナシ男
<0059> 記憶ナシ男

//<0060> 音速
<0060> 音速

//<0061> 無限
<0061> 無限

//<0062> エロ侍
<0062> エロ侍

//<0063> エロエロ団ナンバー１
<0063> エロエロ団ナンバー１

//<0064> ただのエロ少年
<0064> ただのエロ少年

//<0065> ユリブサイク
<0065> ユリブサイク

//<0066> ドピュッシー
<0066> ドピュッシー

//<0067> アメリカンエロドッグ
<0067> アメリカンエロドッグ

//<0068> ゼウス
<0068> ゼウス

//<0069> 日向markⅡ
<0069> 日向markⅡ

//<0070> 糞虫
<0070> 糞虫

//<0071> 量産型日向
<0071> 量産型日向

//<0072> ？？
<0072> ？？

//<0073> 「あれ？　そうか…そうだったな…」
<0073> 「あれ？　そうか…そうだったな…」

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

