// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> 日向
<0002> 日向

//<0003> 男Ｂ
<0003> 男Ｂ

//<0004> エロエロ団総帥
<0004> エロエロ団総帥

//<0005> イケチン
<0005> イケチン

//<0006> ホモ太
<0006> ホモ太

//<0007> ひなチン
<0007> ひなチン

//<0008> 秀樹
<0008> 秀樹

//<0009> 男子生徒
<0009> 男子生徒

//<0010> ？？
<0010> ？？

//<0011> 「おーい、エロいのは重々承知だが音無ー、起きろー」
<0011> 「おーい、エロいのは重々承知だが音無ー、起きろー」

//<0012> 日向
<0012> 日向

//<0013> 男Ｂ
<0013> 男Ｂ

//<0014> エロエロ団総帥
<0014> エロエロ団総帥

//<0015> イケチン
<0015> イケチン

//<0016> ホモ太
<0016> ホモ太

//<0017> ひなチン
<0017> ひなチン

//<0018> 秀樹
<0018> 秀樹

//<0019> 男子生徒
<0019> 男子生徒

//<0020> ？？
<0020> ？？

//<0021> 「って、いちいち付けるの面倒だよ、もう勘弁してくれよ…」
<0021> 「って、いちいち付けるの面倒だよ、もう勘弁してくれよ…」

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> 日向
<0027> 日向

//<0028> 男Ｂ
<0028> 男Ｂ

//<0029> エロエロ団総帥
<0029> エロエロ団総帥

//<0030> イケチン
<0030> イケチン

//<0031> ホモ太
<0031> ホモ太

//<0032> ひなチン
<0032> ひなチン

//<0033> 秀樹
<0033> 秀樹

//<0034> 男子生徒
<0034> 男子生徒

//<0035> ？？
<0035> ？？

//<0036> 「おーい、音無ー、起きろー」
<0036> 「おーい、音無ー、起きろー」

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> 音無
<0042> 音無

//<0043> クソ坊主
<0043> クソ坊主

//<0044> 代理人
<0044> 代理人

//<0045> 微妙すぎるイケメン
<0045> 微妙すぎるイケメン

//<0046> ロリコン
<0046> ロリコン

//<0047> メガネ仲間
<0047> メガネ仲間

//<0048> 暗算日本記録保持者
<0048> 暗算日本記録保持者

//<0049> 通り魔
<0049> 通り魔

//<0050> 記憶ナシ男
<0050> 記憶ナシ男

//<0051> 音速
<0051> 音速

//<0052> 無限
<0052> 無限

//<0053> エロ侍
<0053> エロ侍

//<0054> エロエロ団ナンバー１
<0054> エロエロ団ナンバー１

//<0055> ただのエロ少年
<0055> ただのエロ少年

//<0056> ユリブサイク
<0056> ユリブサイク

//<0057> ドピュッシー
<0057> ドピュッシー

//<0058> アメリカンエロドッグ
<0058> アメリカンエロドッグ

//<0059> ゼウス
<0059> ゼウス

//<0060> 日向markⅡ
<0060> 日向markⅡ

//<0061> 糞虫
<0061> 糞虫

//<0062> 量産型日向
<0062> 量産型日向

//<0063> ？？
<0063> ？？

//<0064> 「ふわ…起きたよ…」
<0064> 「ふわ…起きたよ…」

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> 日向
<0070> 日向

//<0071> 男Ｂ
<0071> 男Ｂ

//<0072> エロエロ団総帥
<0072> エロエロ団総帥

//<0073> イケチン
<0073> イケチン

//<0074> ホモ太
<0074> ホモ太

//<0075> ひなチン
<0075> ひなチン

//<0076> 秀樹
<0076> 秀樹

//<0077> 男子生徒
<0077> 男子生徒

//<0078> ？？
<0078> ？？

//<0079> 「いい加減、ふつーに音無と呼ばせてくれよ…」
<0079> 「いい加減、ふつーに音無と呼ばせてくれよ…」

//<0080> 音無
<0080> 音無

//<0081> クソ坊主
<0081> クソ坊主

//<0082> 代理人
<0082> 代理人

//<0083> 微妙すぎるイケメン
<0083> 微妙すぎるイケメン

//<0084> ロリコン
<0084> ロリコン

//<0085> メガネ仲間
<0085> メガネ仲間

//<0086> 暗算日本記録保持者
<0086> 暗算日本記録保持者

//<0087> 通り魔
<0087> 通り魔

//<0088> 記憶ナシ男
<0088> 記憶ナシ男

//<0089> 音速
<0089> 音速

//<0090> 無限
<0090> 無限

//<0091> エロ侍
<0091> エロ侍

//<0092> エロエロ団ナンバー１
<0092> エロエロ団ナンバー１

//<0093> ただのエロ少年
<0093> ただのエロ少年

//<0094> ユリブサイク
<0094> ユリブサイク

//<0095> ドピュッシー
<0095> ドピュッシー

//<0096> アメリカンエロドッグ
<0096> アメリカンエロドッグ

//<0097> ゼウス
<0097> ゼウス

//<0098> 日向markⅡ
<0098> 日向markⅡ

//<0099> 糞虫
<0099> 糞虫

//<0100> 量産型日向
<0100> 量産型日向

//<0101> ？？
<0101> ？？

//<0102> 「そうだな…これまですまん。十分、十字架を背負ったよ」
<0102> 「そうだな…これまですまん。十分、十字架を背負ったよ」

//<0103> あくび混じりに答える。
<0103> あくび混じりに答える。

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> 日向
<0109> 日向

//<0110> 男Ｂ
<0110> 男Ｂ

//<0111> エロエロ団総帥
<0111> エロエロ団総帥

//<0112> イケチン
<0112> イケチン

//<0113> ホモ太
<0113> ホモ太

//<0114> ひなチン
<0114> ひなチン

//<0115> 秀樹
<0115> 秀樹

//<0116> 男子生徒
<0116> 男子生徒

//<0117> ？？
<0117> ？？

//<0118> 「じゃ、顔洗って着替えて、朝食行きますか」
<0118> 「じゃ、顔洗って着替えて、朝食行きますか」

//<0119> 音無
<0119> 音無

//<0120> クソ坊主
<0120> クソ坊主

//<0121> 代理人
<0121> 代理人

//<0122> 微妙すぎるイケメン
<0122> 微妙すぎるイケメン

//<0123> ロリコン
<0123> ロリコン

