// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> 日向
<0002> 日向

//<0003> 男Ｂ
<0003> 男Ｂ

//<0004> エロエロ団総帥
<0004> エロエロ団総帥

//<0005> イケチン
<0005> イケチン

//<0006> ホモ太
<0006> ホモ太

//<0007> ひなチン
<0007> ひなチン

//<0008> 秀樹
<0008> 秀樹

//<0009> 男子生徒
<0009> 男子生徒

//<0010> ？？
<0010> ？？

//<0011> 「音無ぃー、起きろー、朝飯食いに行こうぜー」
<0011> 「音無ぃー、起きろー、朝飯食いに行こうぜー」

//<0012> 日向
<0012> 日向

//<0013> 男Ｂ
<0013> 男Ｂ

//<0014> エロエロ団総帥
<0014> エロエロ団総帥

//<0015> イケチン
<0015> イケチン

//<0016> ホモ太
<0016> ホモ太

//<0017> ひなチン
<0017> ひなチン

//<0018> 秀樹
<0018> 秀樹

//<0019> 男子生徒
<0019> 男子生徒

//<0020> ？？
<0020> ？？

//<0021> 「糞虫、起きろー、朝飯食いに行こうぜー」
<0021> 「糞虫、起きろー、朝飯食いに行こうぜー」

//<0022> 日向
<0022> 日向

//<0023> 男Ｂ
<0023> 男Ｂ

//<0024> エロエロ団総帥
<0024> エロエロ団総帥

//<0025> イケチン
<0025> イケチン

//<0026> ホモ太
<0026> ホモ太

//<0027> ひなチン
<0027> ひなチン

//<0028> 秀樹
<0028> 秀樹

//<0029> 男子生徒
<0029> 男子生徒

//<0030> ？？
<0030> ？？

//<0031> 「量産型日向、起きろー、朝飯食いに行こうぜー」
<0031> 「量産型日向、起きろー、朝飯食いに行こうぜー」

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> その声で目覚めた。
<0037> その声で目覚めた。

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> 日向
<0043> 日向

//<0044> 男Ｂ
<0044> 男Ｂ

//<0045> エロエロ団総帥
<0045> エロエロ団総帥

//<0046> イケチン
<0046> イケチン

//<0047> ホモ太
<0047> ホモ太

//<0048> ひなチン
<0048> ひなチン

//<0049> 秀樹
<0049> 秀樹

//<0050> 男子生徒
<0050> 男子生徒

//<0051> ？？
<0051> ？？

//<0052> 「よう、起きたか。おはよう」
<0052> 「よう、起きたか。おはよう」

//<0053> 日向が下りてきたので、俺も体を起こし、おはようと返す。
<0053> 日向が下りてきたので、俺も体を起こし、おはようと返す。

//<0054> nothing
<0054> nothing

//<0055> nothing
<0055> nothing

//<0056> nothing
<0056> nothing

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> そのまましばらく、ぼーっとする。
<0060> そのまましばらく、ぼーっとする。

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> 日向
<0066> 日向

//<0067> 男Ｂ
<0067> 男Ｂ

//<0068> エロエロ団総帥
<0068> エロエロ団総帥

//<0069> イケチン
<0069> イケチン

//<0070> ホモ太
<0070> ホモ太

//<0071> ひなチン
<0071> ひなチン

//<0072> 秀樹
<0072> 秀樹

//<0073> 男子生徒
<0073> 男子生徒

//<0074> ？？
<0074> ？？

//<0075> 「怪我はもう治ってるだろ？」
<0075> 「怪我はもう治ってるだろ？」

//<0076> 音無
<0076> 音無

//<0077> クソ坊主
<0077> クソ坊主

//<0078> 代理人
<0078> 代理人

//<0079> 微妙すぎるイケメン
<0079> 微妙すぎるイケメン

//<0080> ロリコン
<0080> ロリコン

//<0081> メガネ仲間
<0081> メガネ仲間

//<0082> 暗算日本記録保持者
<0082> 暗算日本記録保持者

//<0083> 通り魔
<0083> 通り魔

//<0084> 記憶ナシ男
<0084> 記憶ナシ男

//<0085> 音速
<0085> 音速

//<0086> 無限
<0086> 無限

//<0087> エロ侍
<0087> エロ侍

//<0088> エロエロ団ナンバー１
<0088> エロエロ団ナンバー１

//<0089> ただのエロ少年
<0089> ただのエロ少年

//<0090> ユリブサイク
<0090> ユリブサイク

//<0091> ドピュッシー
<0091> ドピュッシー

//<0092> アメリカンエロドッグ
<0092> アメリカンエロドッグ

//<0093> ゼウス
<0093> ゼウス

//<0094> 日向markⅡ
<0094> 日向markⅡ

//<0095> 糞虫
<0095> 糞虫

//<0096> 量産型日向
<0096> 量産型日向

//<0097> ？？
<0097> ？？

//<0098> 「ああ。元々大したことない怪我だから大丈夫だ、ひなチン」
<0098> 「ああ。元々大したことない怪我だから大丈夫だ、ひなチン」

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> 日向
<0104> 日向

//<0105> 男Ｂ
<0105> 男Ｂ

//<0106> エロエロ団総帥
<0106> エロエロ団総帥

//<0107> イケチン
<0107> イケチン

//<0108> ホモ太
<0108> ホモ太

//<0109> ひなチン
<0109> ひなチン

//<0110> 秀樹
<0110> 秀樹

//<0111> 男子生徒
<0111> 男子生徒

//<0112> ？？
<0112> ？？

//<0113> 「はーい、ケツ出せ」
<0113> 「はーい、ケツ出せ」

//<0114> 音無
<0114> 音無

//<0115> クソ坊主
<0115> クソ坊主

//<0116> 代理人
<0116> 代理人

//<0117> 微妙すぎるイケメン
<0117> 微妙すぎるイケメン

//<0118> ロリコン
<0118> ロリコン

//<0119> メガネ仲間
<0119> メガネ仲間

//<0120> 暗算日本記録保持者
<0120> 暗算日本記録保持者

//<0121> 通り魔
<0121> 通り魔

//<0122> 記憶ナシ男
<0122> 記憶ナシ男

//<0123> 音速
<0123> 音速

//<0124> 無限
<0124> 無限

//<0125> エロ侍
