// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> se_bird
<0002> se_bird

//<0003> いつも通りの時間に目が覚める。
<0003> いつも通りの時間に目が覚める。

//<0004> ここから日向の姿は見えないが、ごそごそと用意をしている音が聞こえる。
<0004> ここから日向の姿は見えないが、ごそごそと用意をしている音が聞こえる。

//<0005> そろそろ起きるか…。
<0005> そろそろ起きるか…。

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> 日向
<0011> 日向

//<0012> 男Ｂ
<0012> 男Ｂ

//<0013> エロエロ団総帥
<0013> エロエロ団総帥

//<0014> イケチン
<0014> イケチン

//<0015> ホモ太
<0015> ホモ太

//<0016> ひなチン
<0016> ひなチン

//<0017> 秀樹
<0017> 秀樹

//<0018> 男子生徒
<0018> 男子生徒

//<0019> ？？
<0019> ？？

//<0020> 「お・と・な・し…っと、もう起きてたか」
<0020> 「お・と・な・し…っと、もう起きてたか」

//<0021> 音無
<0021> 音無

//<0022> クソ坊主
<0022> クソ坊主

//<0023> 代理人
<0023> 代理人

//<0024> 微妙すぎるイケメン
<0024> 微妙すぎるイケメン

//<0025> ロリコン
<0025> ロリコン

//<0026> メガネ仲間
<0026> メガネ仲間

//<0027> 暗算日本記録保持者
<0027> 暗算日本記録保持者

//<0028> 通り魔
<0028> 通り魔

//<0029> 記憶ナシ男
<0029> 記憶ナシ男

//<0030> 音速
<0030> 音速

//<0031> 無限
<0031> 無限

//<0032> エロ侍
<0032> エロ侍

//<0033> エロエロ団ナンバー１
<0033> エロエロ団ナンバー１

//<0034> ただのエロ少年
<0034> ただのエロ少年

//<0035> ユリブサイク
<0035> ユリブサイク

//<0036> ドピュッシー
<0036> ドピュッシー

//<0037> アメリカンエロドッグ
<0037> アメリカンエロドッグ

//<0038> ゼウス
<0038> ゼウス

//<0039> 日向markⅡ
<0039> 日向markⅡ

//<0040> 糞虫
<0040> 糞虫

//<0041> 量産型日向
<0041> 量産型日向

//<0042> ？？
<0042> ？？

//<0043> 「ああ…」
<0043> 「ああ…」

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> 日向
<0049> 日向

//<0050> 男Ｂ
<0050> 男Ｂ

//<0051> エロエロ団総帥
<0051> エロエロ団総帥

//<0052> イケチン
<0052> イケチン

//<0053> ホモ太
<0053> ホモ太

//<0054> ひなチン
<0054> ひなチン

//<0055> 秀樹
<0055> 秀樹

//<0056> 男子生徒
<0056> 男子生徒

//<0057> ？？
<0057> ？？

//<0058> 「おと…じゃなく、ただのエロ少年、もう起きてたか」
<0058> 「おと…じゃなく、ただのエロ少年、もう起きてたか」

//<0059> 音無
<0059> 音無

//<0060> クソ坊主
<0060> クソ坊主

//<0061> 代理人
<0061> 代理人

//<0062> 微妙すぎるイケメン
<0062> 微妙すぎるイケメン

//<0063> ロリコン
<0063> ロリコン

//<0064> メガネ仲間
<0064> メガネ仲間

//<0065> 暗算日本記録保持者
<0065> 暗算日本記録保持者

//<0066> 通り魔
<0066> 通り魔

//<0067> 記憶ナシ男
<0067> 記憶ナシ男

//<0068> 音速
<0068> 音速

//<0069> 無限
<0069> 無限

//<0070> エロ侍
<0070> エロ侍

//<0071> エロエロ団ナンバー１
<0071> エロエロ団ナンバー１

//<0072> ただのエロ少年
<0072> ただのエロ少年

//<0073> ユリブサイク
<0073> ユリブサイク

//<0074> ドピュッシー
<0074> ドピュッシー

//<0075> アメリカンエロドッグ
<0075> アメリカンエロドッグ

//<0076> ゼウス
<0076> ゼウス

//<0077> 日向markⅡ
<0077> 日向markⅡ

//<0078> 糞虫
<0078> 糞虫

//<0079> 量産型日向
<0079> 量産型日向

//<0080> ？？
<0080> ？？

//<0081> 「ああ…」
<0081> 「ああ…」

//<0082> そう呼ばれる度、あの日の過ちを反省できる。
<0082> そう呼ばれる度、あの日の過ちを反省できる。

//<0083> nothing
<0083> nothing

//<0084> nothing
<0084> nothing

//<0085> nothing
<0085> nothing

//<0086> nothing
<0086> nothing

//<0087> nothing
<0087> nothing

//<0088> 日向
<0088> 日向

//<0089> 男Ｂ
<0089> 男Ｂ

//<0090> エロエロ団総帥
<0090> エロエロ団総帥

//<0091> イケチン
<0091> イケチン

//<0092> ホモ太
<0092> ホモ太

//<0093> ひなチン
<0093> ひなチン

//<0094> 秀樹
<0094> 秀樹

//<0095> 男子生徒
<0095> 男子生徒

//<0096> ？？
<0096> ？？

//<0097> 「怪我の具合はどうだ？」
<0097> 「怪我の具合はどうだ？」

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> 首を左右に振ってみる。まったく痛みはない。
<0104> 首を左右に振ってみる。まったく痛みはない。

//<0105> 立ち上がり、体を起こして、軽くストレッチしてみる。
<0105> 立ち上がり、体を起こして、軽くストレッチしてみる。

//<0106> まったく痛みはない。
<0106> まったく痛みはない。

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> 日向
<0112> 日向

//<0113> 男Ｂ
<0113> 男Ｂ

//<0114> エロエロ団総帥
<0114> エロエロ団総帥

//<0115> イケチン
<0115> イケチン

//<0116> ホモ太
<0116> ホモ太

//<0117> ひなチン
<0117> ひなチン

//<0118> 秀樹
<0118> 秀樹

//<0119> 男子生徒
<0119> 男子生徒

//<0120> ？？
<0120> ？？

//<0121> 「よっし、顔洗って着替えて、朝飯食いにいこうぜ」
<0121> 「よっし、顔洗って着替えて、朝飯食いにいこうぜ」

