// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> 日向
<0002> 日向

//<0003> 男Ｂ
<0003> 男Ｂ

//<0004> エロエロ団総帥
<0004> エロエロ団総帥

//<0005> イケチン
<0005> イケチン

//<0006> ホモ太
<0006> ホモ太

//<0007> ひなチン
<0007> ひなチン

//<0008> 秀樹
<0008> 秀樹

//<0009> 男子生徒
<0009> 男子生徒

//<0010> ？？
<0010> ？？

//<0011> 「そろそろ起きろよー、エロ侍ー」
<0011> 「そろそろ起きろよー、エロ侍ー」

//<0012> 日向
<0012> 日向

//<0013> 男Ｂ
<0013> 男Ｂ

//<0014> エロエロ団総帥
<0014> エロエロ団総帥

//<0015> イケチン
<0015> イケチン

//<0016> ホモ太
<0016> ホモ太

//<0017> ひなチン
<0017> ひなチン

//<0018> 秀樹
<0018> 秀樹

//<0019> 男子生徒
<0019> 男子生徒

//<0020> ？？
<0020> ？？

//<0021> 「そろそろ起きろよー、エロエロ団ナンバー１ー」
<0021> 「そろそろ起きろよー、エロエロ団ナンバー１ー」

//<0022> 日向
<0022> 日向

//<0023> 男Ｂ
<0023> 男Ｂ

//<0024> エロエロ団総帥
<0024> エロエロ団総帥

//<0025> イケチン
<0025> イケチン

//<0026> ホモ太
<0026> ホモ太

//<0027> ひなチン
<0027> ひなチン

//<0028> 秀樹
<0028> 秀樹

//<0029> 男子生徒
<0029> 男子生徒

//<0030> ？？
<0030> ？？

//<0031> 「そろそろ起きろよー、ただのエロ少年ー」
<0031> 「そろそろ起きろよー、ただのエロ少年ー」

//<0032> 日向
<0032> 日向

//<0033> 男Ｂ
<0033> 男Ｂ

//<0034> エロエロ団総帥
<0034> エロエロ団総帥

//<0035> イケチン
<0035> イケチン

//<0036> ホモ太
<0036> ホモ太

//<0037> ひなチン
<0037> ひなチン

//<0038> 秀樹
<0038> 秀樹

//<0039> 男子生徒
<0039> 男子生徒

//<0040> ？？
<0040> ？？

//<0041> 「そろそろ起きろよー、お・と・な・し！」
<0041> 「そろそろ起きろよー、お・と・な・し！」

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> 音無
<0047> 音無

//<0048> クソ坊主
<0048> クソ坊主

//<0049> 代理人
<0049> 代理人

//<0050> 微妙すぎるイケメン
<0050> 微妙すぎるイケメン

//<0051> ロリコン
<0051> ロリコン

//<0052> メガネ仲間
<0052> メガネ仲間

//<0053> 暗算日本記録保持者
<0053> 暗算日本記録保持者

//<0054> 通り魔
<0054> 通り魔

//<0055> 記憶ナシ男
<0055> 記憶ナシ男

//<0056> 音速
<0056> 音速

//<0057> 無限
<0057> 無限

//<0058> エロ侍
<0058> エロ侍

//<0059> エロエロ団ナンバー１
<0059> エロエロ団ナンバー１

//<0060> ただのエロ少年
<0060> ただのエロ少年

//<0061> ユリブサイク
<0061> ユリブサイク

//<0062> ドピュッシー
<0062> ドピュッシー

//<0063> アメリカンエロドッグ
<0063> アメリカンエロドッグ

//<0064> ゼウス
<0064> ゼウス

//<0065> 日向markⅡ
<0065> 日向markⅡ

//<0066> 糞虫
<0066> 糞虫

//<0067> 量産型日向
<0067> 量産型日向

//<0068> ？？
<0068> ？？

//<0069> 「ん…あぁ…」
<0069> 「ん…あぁ…」

//<0070> 昨日、色々あったせいで、なんだか頭が重たい。
<0070> 昨日、色々あったせいで、なんだか頭が重たい。

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> おもむろに腹に手を当てる。
<0077> おもむろに腹に手を当てる。

//<0078> ゆりに撃たれたところは、もう痛みも違和感もない。
<0078> ゆりに撃たれたところは、もう痛みも違和感もない。

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> nothing
<0083> nothing

//<0084> 日向
<0084> 日向

//<0085> 男Ｂ
<0085> 男Ｂ

//<0086> エロエロ団総帥
<0086> エロエロ団総帥

//<0087> イケチン
<0087> イケチン

//<0088> ホモ太
<0088> ホモ太

//<0089> ひなチン
<0089> ひなチン

//<0090> 秀樹
<0090> 秀樹

//<0091> 男子生徒
<0091> 男子生徒

//<0092> ？？
<0092> ？？

//<0093> 「どうした？」
<0093> 「どうした？」

//<0094> 音無
<0094> 音無

//<0095> クソ坊主
<0095> クソ坊主

//<0096> 代理人
<0096> 代理人

//<0097> 微妙すぎるイケメン
<0097> 微妙すぎるイケメン

//<0098> ロリコン
<0098> ロリコン

//<0099> メガネ仲間
<0099> メガネ仲間

//<0100> 暗算日本記録保持者
<0100> 暗算日本記録保持者

//<0101> 通り魔
<0101> 通り魔

//<0102> 記憶ナシ男
<0102> 記憶ナシ男

//<0103> 音速
<0103> 音速

//<0104> 無限
<0104> 無限

//<0105> エロ侍
<0105> エロ侍

//<0106> エロエロ団ナンバー１
<0106> エロエロ団ナンバー１

//<0107> ただのエロ少年
<0107> ただのエロ少年

//<0108> ユリブサイク
<0108> ユリブサイク

//<0109> ドピュッシー
<0109> ドピュッシー

//<0110> アメリカンエロドッグ
<0110> アメリカンエロドッグ

//<0111> ゼウス
<0111> ゼウス

//<0112> 日向markⅡ
<0112> 日向markⅡ

//<0113> 糞虫
<0113> 糞虫

//<0114> 量産型日向
<0114> 量産型日向

//<0115> ？？
<0115> ？？

//<0116> 「…実はさ」
<0116> 「…実はさ」

//<0117> 俺は昨日、ゆりに撃たれたことを隠さず日向に話した。
<0117> 俺は昨日、ゆりに撃たれたことを隠さず日向に話した。

//<0118> nothing
<0118> nothing

//<0119> nothing
<0119> nothing

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

