// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> 音無
<0002> 音無

//<0003> クソ坊主
<0003> クソ坊主

//<0004> 代理人
<0004> 代理人

//<0005> 微妙すぎるイケメン
<0005> 微妙すぎるイケメン

//<0006> ロリコン
<0006> ロリコン

//<0007> メガネ仲間
<0007> メガネ仲間

//<0008> 暗算日本記録保持者
<0008> 暗算日本記録保持者

//<0009> 通り魔
<0009> 通り魔

//<0010> 記憶ナシ男
<0010> 記憶ナシ男

//<0011> 音速
<0011> 音速

//<0012> 無限
<0012> 無限

//<0013> エロ侍
<0013> エロ侍

//<0014> エロエロ団ナンバー１
<0014> エロエロ団ナンバー１

//<0015> ただのエロ少年
<0015> ただのエロ少年

//<0016> ユリブサイク
<0016> ユリブサイク

//<0017> ドピュッシー
<0017> ドピュッシー

//<0018> アメリカンエロドッグ
<0018> アメリカンエロドッグ

//<0019> ゼウス
<0019> ゼウス

//<0020> 日向markⅡ
<0020> 日向markⅡ

//<0021> 糞虫
<0021> 糞虫

//<0022> 量産型日向
<0022> 量産型日向

//<0023> ？？
<0023> ？？

//<0024> 「………」
<0024> 「………」

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> 日向
<0030> 日向

//<0031> 男Ｂ
<0031> 男Ｂ

//<0032> エロエロ団総帥
<0032> エロエロ団総帥

//<0033> イケチン
<0033> イケチン

//<0034> ホモ太
<0034> ホモ太

//<0035> ひなチン
<0035> ひなチン

//<0036> 秀樹
<0036> 秀樹

//<0037> 男子生徒
<0037> 男子生徒

//<0038> ？？
<0038> ？？

//<0039> 「………」
<0039> 「………」

//<0040> 授業に挑むためか、すでにふたりとも無言でぼーっとしたまま、ご飯を口に運ぶ。
<0040> 授業に挑むためか、すでにふたりとも無言でぼーっとしたまま、ご飯を口に運ぶ。

//<0041> 音無
<0041> 音無

//<0042> クソ坊主
<0042> クソ坊主

//<0043> 代理人
<0043> 代理人

//<0044> 微妙すぎるイケメン
<0044> 微妙すぎるイケメン

//<0045> ロリコン
<0045> ロリコン

//<0046> メガネ仲間
<0046> メガネ仲間

//<0047> 暗算日本記録保持者
<0047> 暗算日本記録保持者

//<0048> 通り魔
<0048> 通り魔

//<0049> 記憶ナシ男
<0049> 記憶ナシ男

//<0050> 音速
<0050> 音速

//<0051> 無限
<0051> 無限

//<0052> エロ侍
<0052> エロ侍

//<0053> エロエロ団ナンバー１
<0053> エロエロ団ナンバー１

//<0054> ただのエロ少年
<0054> ただのエロ少年

//<0055> ユリブサイク
<0055> ユリブサイク

//<0056> ドピュッシー
<0056> ドピュッシー

//<0057> アメリカンエロドッグ
<0057> アメリカンエロドッグ

//<0058> ゼウス
<0058> ゼウス

//<0059> 日向markⅡ
<0059> 日向markⅡ

//<0060> 糞虫
<0060> 糞虫

//<0061> 量産型日向
<0061> 量産型日向

//<0062> ？？
<0062> ？？

//<0063> 「………」
<0063> 「………」

//<0064> 音無
<0064> 音無

//<0065> クソ坊主
<0065> クソ坊主

//<0066> 代理人
<0066> 代理人

//<0067> 微妙すぎるイケメン
<0067> 微妙すぎるイケメン

//<0068> ロリコン
<0068> ロリコン

//<0069> メガネ仲間
<0069> メガネ仲間

//<0070> 暗算日本記録保持者
<0070> 暗算日本記録保持者

//<0071> 通り魔
<0071> 通り魔

//<0072> 記憶ナシ男
<0072> 記憶ナシ男

//<0073> 音速
<0073> 音速

//<0074> 無限
<0074> 無限

//<0075> エロ侍
<0075> エロ侍

//<0076> エロエロ団ナンバー１
<0076> エロエロ団ナンバー１

//<0077> ただのエロ少年
<0077> ただのエロ少年

//<0078> ユリブサイク
<0078> ユリブサイク

//<0079> ドピュッシー
<0079> ドピュッシー

//<0080> アメリカンエロドッグ
<0080> アメリカンエロドッグ

//<0081> ゼウス
<0081> ゼウス

//<0082> 日向markⅡ
<0082> 日向markⅡ

//<0083> 糞虫
<0083> 糞虫

//<0084> 量産型日向
<0084> 量産型日向

//<0085> ？？
<0085> ？？

//<0086> 「……」
<0086> 「……」

//<0087> 音無
<0087> 音無

//<0088> クソ坊主
<0088> クソ坊主

//<0089> 代理人
<0089> 代理人

//<0090> 微妙すぎるイケメン
<0090> 微妙すぎるイケメン

//<0091> ロリコン
<0091> ロリコン

//<0092> メガネ仲間
<0092> メガネ仲間

//<0093> 暗算日本記録保持者
<0093> 暗算日本記録保持者

//<0094> 通り魔
<0094> 通り魔

//<0095> 記憶ナシ男
<0095> 記憶ナシ男

//<0096> 音速
<0096> 音速

//<0097> 無限
<0097> 無限

//<0098> エロ侍
<0098> エロ侍

//<0099> エロエロ団ナンバー１
<0099> エロエロ団ナンバー１

//<0100> ただのエロ少年
<0100> ただのエロ少年

//<0101> ユリブサイク
<0101> ユリブサイク

//<0102> ドピュッシー
<0102> ドピュッシー

//<0103> アメリカンエロドッグ
<0103> アメリカンエロドッグ

//<0104> ゼウス
<0104> ゼウス

//<0105> 日向markⅡ
<0105> 日向markⅡ

//<0106> 糞虫
<0106> 糞虫

//<0107> 量産型日向
<0107> 量産型日向

//<0108> ？？
<0108> ？？

//<0109> 「………」
<0109> 「………」

//<0110> 音無
<0110> 音無

//<0111> クソ坊主
<0111> クソ坊主

//<0112> 代理人
<0112> 代理人

//<0113> 微妙すぎるイケメン
<0113> 微妙すぎるイケメン

//<0114> ロリコン
<0114> ロリコン

//<0115> メガネ仲間
<0115> メガネ仲間

//<0116> 暗算日本記録保持者
<0116> 暗算日本記録保持者

//<0117> 通り魔
<0117> 通り魔

//<0118> 記憶ナシ男
<0118> 記憶ナシ男

//<0119> 音速
<0119> 音速

//<0120> 無限
<0120> 無限

//<0121> エロ侍
<0121> エロ侍

//<0122> エロエロ団ナンバー１
<0122> エロエロ団ナンバー１

//<0123> ただのエロ少年
