// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> 俺たちは、焼却炉前でこれからのことを考えることにした。
<0002> 俺たちは、焼却炉前でこれからのことを考えることにした。

//<0003> 放課後、掃除を終えた生徒くらいしか来ない場所。
<0003> 放課後、掃除を終えた生徒くらいしか来ない場所。

//<0004> 絶好の場所だ。
<0004> 絶好の場所だ。

//<0005> それにゴミ処理場を背後にすれば、遊佐が現れたとしても、すぐ気づける。
<0005> それにゴミ処理場を背後にすれば、遊佐が現れたとしても、すぐ気づける。

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> 天使
<0011> 天使

//<0012> かなで
<0012> かなで

//<0013> 女生徒
<0013> 女生徒

//<0014> ？？
<0014> ？？

//<0015> 「何から始めるの？」
<0015> 「何から始めるの？」

//<0016> 音無
<0016> 音無

//<0017> クソ坊主
<0017> クソ坊主

//<0018> 代理人
<0018> 代理人

//<0019> 微妙すぎるイケメン
<0019> 微妙すぎるイケメン

//<0020> ロリコン
<0020> ロリコン

//<0021> メガネ仲間
<0021> メガネ仲間

//<0022> 暗算日本記録保持者
<0022> 暗算日本記録保持者

//<0023> 通り魔
<0023> 通り魔

//<0024> 記憶ナシ男
<0024> 記憶ナシ男

//<0025> 音速
<0025> 音速

//<0026> 無限
<0026> 無限

//<0027> エロ侍
<0027> エロ侍

//<0028> エロエロ団ナンバー１
<0028> エロエロ団ナンバー１

//<0029> ただのエロ少年
<0029> ただのエロ少年

//<0030> ユリブサイク
<0030> ユリブサイク

//<0031> ドピュッシー
<0031> ドピュッシー

//<0032> アメリカンエロドッグ
<0032> アメリカンエロドッグ

//<0033> ゼウス
<0033> ゼウス

//<0034> 日向markⅡ
<0034> 日向markⅡ

//<0035> 糞虫
<0035> 糞虫

//<0036> 量産型日向
<0036> 量産型日向

//<0037> ？？
<0037> ？？

//<0038> 「待て、そういきなりドライにはなれない」
<0038> 「待て、そういきなりドライにはなれない」

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> 天使
<0044> 天使

//<0045> かなで
<0045> かなで

//<0046> 女生徒
<0046> 女生徒

//<0047> ？？
<0047> ？？

//<0048> 「ドライ…乾燥機？」
<0048> 「ドライ…乾燥機？」

//<0049> 音無
<0049> 音無

//<0050> クソ坊主
<0050> クソ坊主

//<0051> 代理人
<0051> 代理人

//<0052> 微妙すぎるイケメン
<0052> 微妙すぎるイケメン

//<0053> ロリコン
<0053> ロリコン

//<0054> メガネ仲間
<0054> メガネ仲間

//<0055> 暗算日本記録保持者
<0055> 暗算日本記録保持者

//<0056> 通り魔
<0056> 通り魔

//<0057> 記憶ナシ男
<0057> 記憶ナシ男

//<0058> 音速
<0058> 音速

//<0059> 無限
<0059> 無限

//<0060> エロ侍
<0060> エロ侍

//<0061> エロエロ団ナンバー１
<0061> エロエロ団ナンバー１

//<0062> ただのエロ少年
<0062> ただのエロ少年

//<0063> ユリブサイク
<0063> ユリブサイク

//<0064> ドピュッシー
<0064> ドピュッシー

//<0065> アメリカンエロドッグ
<0065> アメリカンエロドッグ

//<0066> ゼウス
<0066> ゼウス

//<0067> 日向markⅡ
<0067> 日向markⅡ

//<0068> 糞虫
<0068> 糞虫

//<0069> 量産型日向
<0069> 量産型日向

//<0070> ？？
<0070> ？？

//<0071> 「そう。人の感情とはもっとウェットなものなんだ。お前も人間ならわかるだろ？」
<0071> 「そう。人の感情とはもっとウェットなものなんだ。お前も人間ならわかるだろ？」

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> 天使
<0077> 天使

//<0078> かなで
<0078> かなで

//<0079> 女生徒
<0079> 女生徒

//<0080> ？？
<0080> ？？

//<0081> 「濡れてるのね」
<0081> 「濡れてるのね」

//<0082> 音無
<0082> 音無

//<0083> クソ坊主
<0083> クソ坊主

//<0084> 代理人
<0084> 代理人

//<0085> 微妙すぎるイケメン
<0085> 微妙すぎるイケメン

//<0086> ロリコン
<0086> ロリコン

//<0087> メガネ仲間
<0087> メガネ仲間

//<0088> 暗算日本記録保持者
<0088> 暗算日本記録保持者

//<0089> 通り魔
<0089> 通り魔

//<0090> 記憶ナシ男
<0090> 記憶ナシ男

//<0091> 音速
<0091> 音速

//<0092> 無限
<0092> 無限

//<0093> エロ侍
<0093> エロ侍

//<0094> エロエロ団ナンバー１
<0094> エロエロ団ナンバー１

//<0095> ただのエロ少年
<0095> ただのエロ少年

//<0096> ユリブサイク
<0096> ユリブサイク

//<0097> ドピュッシー
<0097> ドピュッシー

//<0098> アメリカンエロドッグ
<0098> アメリカンエロドッグ

//<0099> ゼウス
<0099> ゼウス

//<0100> 日向markⅡ
<0100> 日向markⅡ

//<0101> 糞虫
<0101> 糞虫

//<0102> 量産型日向
<0102> 量産型日向

//<0103> ？？
<0103> ？？

//<0104> 「ああ。特にここに来る人間はどしゃ降りの中をさまよい歩いてきた奴ばっかだ」
<0104> 「ああ。特にここに来る人間はどしゃ降りの中をさまよい歩いてきた奴ばっかだ」

//<0105> 音無
<0105> 音無

//<0106> クソ坊主
<0106> クソ坊主

//<0107> 代理人
<0107> 代理人

//<0108> 微妙すぎるイケメン
<0108> 微妙すぎるイケメン

//<0109> ロリコン
<0109> ロリコン

//<0110> メガネ仲間
<0110> メガネ仲間

//<0111> 暗算日本記録保持者
<0111> 暗算日本記録保持者

//<0112> 通り魔
<0112> 通り魔

//<0113> 記憶ナシ男
<0113> 記憶ナシ男

//<0114> 音速
<0114> 音速

//<0115> 無限
<0115> 無限

//<0116> エロ侍
<0116> エロ侍

//<0117> エロエロ団ナンバー１
