// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 空き教室でひとり、作曲中のご様子だ。
<0005> 空き教室でひとり、作曲中のご様子だ。

//<0006> でも今日は、昨夜ゆりから聞かされたことを尋ねたい。
<0006> でも今日は、昨夜ゆりから聞かされたことを尋ねたい。

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> se_knock
<0013> se_knock

//<0014> se_wooddoor_open2
<0014> se_wooddoor_open2

//<0015> ノックの後、ドアを開き、作曲に夢中の岩沢の前に立つ。
<0015> ノックの後、ドアを開き、作曲に夢中の岩沢の前に立つ。

//<0016> 音無
<0016> 音無

//<0017> クソ坊主
<0017> クソ坊主

//<0018> 代理人
<0018> 代理人

//<0019> 微妙すぎるイケメン
<0019> 微妙すぎるイケメン

//<0020> ロリコン
<0020> ロリコン

//<0021> メガネ仲間
<0021> メガネ仲間

//<0022> 暗算日本記録保持者
<0022> 暗算日本記録保持者

//<0023> 通り魔
<0023> 通り魔

//<0024> 記憶ナシ男
<0024> 記憶ナシ男

//<0025> 音速
<0025> 音速

//<0026> 無限
<0026> 無限

//<0027> エロ侍
<0027> エロ侍

//<0028> エロエロ団ナンバー１
<0028> エロエロ団ナンバー１

//<0029> ただのエロ少年
<0029> ただのエロ少年

//<0030> ユリブサイク
<0030> ユリブサイク

//<0031> ドピュッシー
<0031> ドピュッシー

//<0032> アメリカンエロドッグ
<0032> アメリカンエロドッグ

//<0033> ゼウス
<0033> ゼウス

//<0034> 日向markⅡ
<0034> 日向markⅡ

//<0035> 糞虫
<0035> 糞虫

//<0036> 量産型日向
<0036> 量産型日向

//<0037> ？？
<0037> ？？

//<0038> 「話がある」
<0038> 「話がある」

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> 岩沢
<0044> 岩沢

//<0045> 「おっと…。いきなり現れて…びっくりさせなるなよ」
<0045> 「おっと…。いきなり現れて…びっくりさせなるなよ」

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> 岩沢
<0051> 岩沢

//<0052> 「で、なんだよ、改まって」
<0052> 「で、なんだよ、改まって」

//<0053> 音無
<0053> 音無

//<0054> クソ坊主
<0054> クソ坊主

//<0055> 代理人
<0055> 代理人

//<0056> 微妙すぎるイケメン
<0056> 微妙すぎるイケメン

//<0057> ロリコン
<0057> ロリコン

//<0058> メガネ仲間
<0058> メガネ仲間

//<0059> 暗算日本記録保持者
<0059> 暗算日本記録保持者

//<0060> 通り魔
<0060> 通り魔

//<0061> 記憶ナシ男
<0061> 記憶ナシ男

//<0062> 音速
<0062> 音速

//<0063> 無限
<0063> 無限

//<0064> エロ侍
<0064> エロ侍

//<0065> エロエロ団ナンバー１
<0065> エロエロ団ナンバー１

//<0066> ただのエロ少年
<0066> ただのエロ少年

//<0067> ユリブサイク
<0067> ユリブサイク

//<0068> ドピュッシー
<0068> ドピュッシー

//<0069> アメリカンエロドッグ
<0069> アメリカンエロドッグ

//<0070> ゼウス
<0070> ゼウス

//<0071> 日向markⅡ
<0071> 日向markⅡ

//<0072> 糞虫
<0072> 糞虫

//<0073> 量産型日向
<0073> 量産型日向

//<0074> ？？
<0074> ？？

