// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 野田
<0005> 野田

//<0006> 男Ｆ
<0006> 男Ｆ

//<0007> イケパイ
<0007> イケパイ

//<0008> 男
<0008> 男

//<0009> ？？
<0009> ？？

//<0010> 「またかよ…」
<0010> 「またかよ…」

//<0011> 音無
<0011> 音無

//<0012> クソ坊主
<0012> クソ坊主

//<0013> 代理人
<0013> 代理人

//<0014> 微妙すぎるイケメン
<0014> 微妙すぎるイケメン

//<0015> ロリコン
<0015> ロリコン

//<0016> メガネ仲間
<0016> メガネ仲間

//<0017> 暗算日本記録保持者
<0017> 暗算日本記録保持者

//<0018> 通り魔
<0018> 通り魔

//<0019> 記憶ナシ男
<0019> 記憶ナシ男

//<0020> 音速
<0020> 音速

//<0021> 無限
<0021> 無限

//<0022> エロ侍
<0022> エロ侍

//<0023> エロエロ団ナンバー１
<0023> エロエロ団ナンバー１

//<0024> ただのエロ少年
<0024> ただのエロ少年

//<0025> ユリブサイク
<0025> ユリブサイク

//<0026> ドピュッシー
<0026> ドピュッシー

//<0027> アメリカンエロドッグ
<0027> アメリカンエロドッグ

//<0028> ゼウス
<0028> ゼウス

//<0029> 日向markⅡ
<0029> 日向markⅡ

//<0030> 糞虫
<0030> 糞虫

//<0031> 量産型日向
<0031> 量産型日向

//<0032> ？？
<0032> ？？

//<0033> 「ああ…」
<0033> 「ああ…」

//<0034> 野田に立ち向かう。
<0034> 野田に立ち向かう。

//<0035> 何が俺をそうさせるのか、自分自身でもわからない。
<0035> 何が俺をそうさせるのか、自分自身でもわからない。

//<0036> だが、野田に勝ちたいと思う気持ちがあるのも事実だ。
<0036> だが、野田に勝ちたいと思う気持ちがあるのも事実だ。

//<0037> 肩を脱臼したが、すでに治っているはず。
<0037> 肩を脱臼したが、すでに治っているはず。

//<0038> 問題なく戦えるだろう。
<0038> 問題なく戦えるだろう。

//<0039> 音無
<0039> 音無

//<0040> クソ坊主
<0040> クソ坊主

//<0041> 代理人
<0041> 代理人

//<0042> 微妙すぎるイケメン
<0042> 微妙すぎるイケメン

//<0043> ロリコン
<0043> ロリコン

//<0044> メガネ仲間
<0044> メガネ仲間

//<0045> 暗算日本記録保持者
<0045> 暗算日本記録保持者

//<0046> 通り魔
<0046> 通り魔

//<0047> 記憶ナシ男
<0047> 記憶ナシ男

//<0048> 音速
<0048> 音速

//<0049> 無限
<0049> 無限

//<0050> エロ侍
<0050> エロ侍

//<0051> エロエロ団ナンバー１
<0051> エロエロ団ナンバー１

//<0052> ただのエロ少年
<0052> ただのエロ少年

//<0053> ユリブサイク
<0053> ユリブサイク

//<0054> ドピュッシー
<0054> ドピュッシー

//<0055> アメリカンエロドッグ
<0055> アメリカンエロドッグ

//<0056> ゼウス
<0056> ゼウス

//<0057> 日向markⅡ
<0057> 日向markⅡ

//<0058> 糞虫
<0058> 糞虫

//<0059> 量産型日向
<0059> 量産型日向

//<0060> ？？
<0060> ？？

//<0061> 「なあ、一つ聞いていいか」
<0061> 「なあ、一つ聞いていいか」

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> 野田
<0067> 野田

//<0068> 男Ｆ
<0068> 男Ｆ

//<0069> イケパイ
<0069> イケパイ

//<0070> 男
<0070> 男

//<0071> ？？
<0071> ？？

//<0072> 「なんだ」
<0072> 「なんだ」

//<0073> 音無
<0073> 音無

//<0074> クソ坊主
<0074> クソ坊主

//<0075> 代理人
