// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音無
<0000> 音無

//<0001> クソ坊主
<0001> クソ坊主

//<0002> 代理人
<0002> 代理人

//<0003> 微妙すぎるイケメン
<0003> 微妙すぎるイケメン

//<0004> ロリコン
<0004> ロリコン

//<0005> メガネ仲間
<0005> メガネ仲間

//<0006> 暗算日本記録保持者
<0006> 暗算日本記録保持者

//<0007> 通り魔
<0007> 通り魔

//<0008> 記憶ナシ男
<0008> 記憶ナシ男

//<0009> 音速
<0009> 音速

//<0010> 無限
<0010> 無限

//<0011> エロ侍
<0011> エロ侍

//<0012> エロエロ団ナンバー１
<0012> エロエロ団ナンバー１

//<0013> ただのエロ少年
<0013> ただのエロ少年

//<0014> ユリブサイク
<0014> ユリブサイク

//<0015> ドピュッシー
<0015> ドピュッシー

//<0016> アメリカンエロドッグ
<0016> アメリカンエロドッグ

//<0017> ゼウス
<0017> ゼウス

//<0018> 日向markⅡ
<0018> 日向markⅡ

//<0019> 糞虫
<0019> 糞虫

//<0020> 量産型日向
<0020> 量産型日向

//<0021> ？？
<0021> ？？

//<0022> 「よう」
<0022> 「よう」

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> 松下
<0028> 松下

//<0029> 「ほぅ…ここまでがっついてくる新米はかつて居なかった」
<0029> 「ほぅ…ここまでがっついてくる新米はかつて居なかった」

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> 松下
<0035> 松下

//<0036> 「さすがゆりっぺが見定めた男だ」
<0036> 「さすがゆりっぺが見定めた男だ」

//<0037> その言葉に自惚れのような気持ちを抱いてしまう。
<0037> その言葉に自惚れのような気持ちを抱いてしまう。

//<0038> 音無
<0038> 音無

//<0039> クソ坊主
<0039> クソ坊主

//<0040> 代理人
<0040> 代理人

//<0041> 微妙すぎるイケメン
<0041> 微妙すぎるイケメン

//<0042> ロリコン
<0042> ロリコン

//<0043> メガネ仲間
<0043> メガネ仲間

//<0044> 暗算日本記録保持者
<0044> 暗算日本記録保持者

//<0045> 通り魔
<0045> 通り魔

//<0046> 記憶ナシ男
<0046> 記憶ナシ男

//<0047> 音速
<0047> 音速

//<0048> 無限
<0048> 無限

//<0049> エロ侍
<0049> エロ侍

//<0050> エロエロ団ナンバー１
<0050> エロエロ団ナンバー１

//<0051> ただのエロ少年
<0051> ただのエロ少年

//<0052> ユリブサイク
<0052> ユリブサイク

//<0053> ドピュッシー
<0053> ドピュッシー

//<0054> アメリカンエロドッグ
<0054> アメリカンエロドッグ

//<0055> ゼウス
<0055> ゼウス

//<0056> 日向markⅡ
<0056> 日向markⅡ

//<0057> 糞虫
<0057> 糞虫

//<0058> 量産型日向
<0058> 量産型日向

//<0059> ？？
<0059> ？？

//<0060> 「ええと…他にゆりから何か聞いてないかなー、俺のこと…」
<0060> 「ええと…他にゆりから何か聞いてないかなー、俺のこと…」

//<0061> さりげなく訊いてみる。
<0061> さりげなく訊いてみる。

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> 松下
<0067> 松下

//<0068> 「いや」
<0068> 「いや」

//<0069> 音無
<0069> 音無

//<0070> クソ坊主
<0070> クソ坊主

//<0071> 代理人
<0071> 代理人

//<0072> 微妙すぎるイケメン
<0072> 微妙すぎるイケメン

//<0073> ロリコン
<0073> ロリコン

//<0074> メガネ仲間
<0074> メガネ仲間

//<0075> 暗算日本記録保持者
<0075> 暗算日本記録保持者

//<0076> 通り魔
<0076> 通り魔

//<0077> 記憶ナシ男
<0077> 記憶ナシ男

//<0078> 音速
<0078> 音速

//<0079> 無限
<0079> 無限

//<0080> エロ侍
<0080> エロ侍

//<0081> エロエロ団ナンバー１
<0081> エロエロ団ナンバー１

//<0082> ただのエロ少年
<0082> ただのエロ少年

//<0083> ユリブサイク
<0083> ユリブサイク

//<0084> ドピュッシー
<0084> ドピュッシー

//<0085> アメリカンエロドッグ
<0085> アメリカンエロドッグ

//<0086> ゼウス
<0086> ゼウス

//<0087> 日向markⅡ
<0087> 日向markⅡ

//<0088> 糞虫
<0088> 糞虫

//<0089> 量産型日向
<0089> 量産型日向

//<0090> ？？
<0090> ？？

//<0091> 「いやいや、なんかあるだろ？　思い出してくれよ」
<0091> 「いやいや、なんかあるだろ？　思い出してくれよ」

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> nothing
<0096> nothing

//<0097> 松下
<0097> 松下

//<0098> 「ふーーーむ…」
<0098> 「ふーーーむ…」

//<0099> 線目をさらに細くし、しばらく考えてくれるが…。
<0099> 線目をさらに細くし、しばらく考えてくれるが…。

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> 松下
<0105> 松下

//<0106> 「ない」
<0106> 「ない」

//<0107> 音無
<0107> 音無

//<0108> クソ坊主
<0108> クソ坊主

//<0109> 代理人
<0109> 代理人

//<0110> 微妙すぎるイケメン
<0110> 微妙すぎるイケメン

//<0111> ロリコン
<0111> ロリコン

//<0112> メガネ仲間
<0112> メガネ仲間

//<0113> 暗算日本記録保持者
<0113> 暗算日本記録保持者

//<0114> 通り魔
<0114> 通り魔

//<0115> 記憶ナシ男
<0115> 記憶ナシ男

//<0116> 音速
<0116> 音速

//<0117> 無限
<0117> 無限

