// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> 音無
<0010> 音無

//<0011> クソ坊主
<0011> クソ坊主

//<0012> 代理人
<0012> 代理人

//<0013> 微妙すぎるイケメン
<0013> 微妙すぎるイケメン

//<0014> ロリコン
<0014> ロリコン

//<0015> メガネ仲間
<0015> メガネ仲間

//<0016> 暗算日本記録保持者
<0016> 暗算日本記録保持者

//<0017> 通り魔
<0017> 通り魔

//<0018> 記憶ナシ男
<0018> 記憶ナシ男

//<0019> 音速
<0019> 音速

//<0020> 無限
<0020> 無限

//<0021> エロ侍
<0021> エロ侍

//<0022> エロエロ団ナンバー１
<0022> エロエロ団ナンバー１

//<0023> ただのエロ少年
<0023> ただのエロ少年

//<0024> ユリブサイク
<0024> ユリブサイク

//<0025> ドピュッシー
<0025> ドピュッシー

//<0026> アメリカンエロドッグ
<0026> アメリカンエロドッグ

//<0027> ゼウス
<0027> ゼウス

//<0028> 日向markⅡ
<0028> 日向markⅡ

//<0029> 糞虫
<0029> 糞虫

//<0030> 量産型日向
<0030> 量産型日向

//<0031> ？？
<0031> ？？

//<0032> 「よう」
<0032> 「よう」

//<0033> 珍しく、五段はいつものように訓練をしていなかった。
<0033> 珍しく、五段はいつものように訓練をしていなかった。

//<0034> 心なしか、顔も緩んでいる。
<0034> 心なしか、顔も緩んでいる。

//<0035> 音無
<0035> 音無

//<0036> クソ坊主
<0036> クソ坊主

//<0037> 代理人
<0037> 代理人

//<0038> 微妙すぎるイケメン
<0038> 微妙すぎるイケメン

//<0039> ロリコン
<0039> ロリコン

//<0040> メガネ仲間
<0040> メガネ仲間

//<0041> 暗算日本記録保持者
<0041> 暗算日本記録保持者

//<0042> 通り魔
<0042> 通り魔

//<0043> 記憶ナシ男
<0043> 記憶ナシ男

//<0044> 音速
<0044> 音速

//<0045> 無限
<0045> 無限

//<0046> エロ侍
<0046> エロ侍

//<0047> エロエロ団ナンバー１
<0047> エロエロ団ナンバー１

//<0048> ただのエロ少年
<0048> ただのエロ少年

//<0049> ユリブサイク
<0049> ユリブサイク

//<0050> ドピュッシー
<0050> ドピュッシー

//<0051> アメリカンエロドッグ
<0051> アメリカンエロドッグ

//<0052> ゼウス
<0052> ゼウス

//<0053> 日向markⅡ
<0053> 日向markⅡ

//<0054> 糞虫
<0054> 糞虫

//<0055> 量産型日向
<0055> 量産型日向

//<0056> ？？
<0056> ？？

//<0057> 「楽しみにしてきたぞ、消えない程度にな」
<0057> 「楽しみにしてきたぞ、消えない程度にな」

//<0058> 音無
<0058> 音無

//<0059> クソ坊主
<0059> クソ坊主

//<0060> 代理人
<0060> 代理人

//<0061> 微妙すぎるイケメン
<0061> 微妙すぎるイケメン

//<0062> ロリコン
<0062> ロリコン

//<0063> メガネ仲間
<0063> メガネ仲間

//<0064> 暗算日本記録保持者
<0064> 暗算日本記録保持者

//<0065> 通り魔
<0065> 通り魔

//<0066> 記憶ナシ男
<0066> 記憶ナシ男

//<0067> 音速
<0067> 音速

//<0068> 無限
<0068> 無限

//<0069> エロ侍
<0069> エロ侍

//<0070> エロエロ団ナンバー１
<0070> エロエロ団ナンバー１

//<0071> ただのエロ少年
<0071> ただのエロ少年

//<0072> ユリブサイク
<0072> ユリブサイク

//<0073> ドピュッシー
<0073> ドピュッシー

//<0074> アメリカンエロドッグ
<0074> アメリカンエロドッグ

