// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> se_bird
<0002> se_bird

//<0003> 日向
<0003> 日向

//<0004> 男Ｂ
<0004> 男Ｂ

//<0005> エロエロ団総帥
<0005> エロエロ団総帥

//<0006> イケチン
<0006> イケチン

//<0007> ホモ太
<0007> ホモ太

//<0008> ひなチン
<0008> ひなチン

//<0009> 秀樹
<0009> 秀樹

//<0010> 男子生徒
<0010> 男子生徒

//<0011> ？？
<0011> ？？

//<0012> 「起きろよ、音無。おはよーの時間だぞ」
<0012> 「起きろよ、音無。おはよーの時間だぞ」

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> 日向が俺を覗き込んでいた。
<0018> 日向が俺を覗き込んでいた。

//<0019> 音無
<0019> 音無

//<0020> クソ坊主
<0020> クソ坊主

//<0021> 代理人
<0021> 代理人

//<0022> 微妙すぎるイケメン
<0022> 微妙すぎるイケメン

//<0023> ロリコン
<0023> ロリコン

//<0024> メガネ仲間
<0024> メガネ仲間

//<0025> 暗算日本記録保持者
<0025> 暗算日本記録保持者

//<0026> 通り魔
<0026> 通り魔

//<0027> 記憶ナシ男
<0027> 記憶ナシ男

//<0028> 音速
<0028> 音速

//<0029> 無限
<0029> 無限

//<0030> エロ侍
<0030> エロ侍

//<0031> エロエロ団ナンバー１
<0031> エロエロ団ナンバー１

//<0032> ただのエロ少年
<0032> ただのエロ少年

//<0033> ユリブサイク
<0033> ユリブサイク

//<0034> ドピュッシー
<0034> ドピュッシー

//<0035> アメリカンエロドッグ
<0035> アメリカンエロドッグ

//<0036> ゼウス
<0036> ゼウス

//<0037> 日向markⅡ
<0037> 日向markⅡ

//<0038> 糞虫
<0038> 糞虫

//<0039> 量産型日向
<0039> 量産型日向

//<0040> ？？
<0040> ？？

//<0041> 「ん…朝か…おはよ…」
<0041> 「ん…朝か…おはよ…」

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> 俺は正直、まだこの悪夢が続いていることに辟易した。
<0048> 俺は正直、まだこの悪夢が続いていることに辟易した。

//<0049> 次起きた時は、記憶もちゃんとあって、自分の暮らすべき場所で目覚めると期待していたからだ。
<0049> 次起きた時は、記憶もちゃんとあって、自分の暮らすべき場所で目覚めると期待していたからだ。

//<0050> しかし、そんなことはなかった。
<0050> しかし、そんなことはなかった。

//<0051> 寝る前と何ひとつ変わらない、馴染みのない寮の部屋とルームメイト。
<0051> 寝る前と何ひとつ変わらない、馴染みのない寮の部屋とルームメイト。

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> nothing
<0054> nothing

//<0055> nothing
<0055> nothing

//<0056> nothing
<0056> nothing

//<0057> 日向
<0057> 日向

//<0058> 男Ｂ
<0058> 男Ｂ

//<0059> エロエロ団総帥
<0059> エロエロ団総帥

//<0060> イケチン
<0060> イケチン

//<0061> ホモ太
<0061> ホモ太

//<0062> ひなチン
<0062> ひなチン

//<0063> 秀樹
<0063> 秀樹

//<0064> 男子生徒
<0064> 男子生徒

//<0065> ？？
<0065> ？？

//<0066> 「怪我の具合は？」
<0066> 「怪我の具合は？」

//<0067> ひとしきり、体を動かしてみるが、問題はない。
<0067> ひとしきり、体を動かしてみるが、問題はない。

//<0068> 音無
<0068> 音無

//<0069> クソ坊主
<0069> クソ坊主

//<0070> 代理人
<0070> 代理人

//<0071> 微妙すぎるイケメン
<0071> 微妙すぎるイケメン

//<0072> ロリコン
<0072> ロリコン

//<0073> メガネ仲間
<0073> メガネ仲間

//<0074> 暗算日本記録保持者
<0074> 暗算日本記録保持者

//<0075> 通り魔
<0075> 通り魔

//<0076> 記憶ナシ男
<0076> 記憶ナシ男

//<0077> 音速
<0077> 音速

//<0078> 無限
<0078> 無限

//<0079> エロ侍
<0079> エロ侍

//<0080> エロエロ団ナンバー１
<0080> エロエロ団ナンバー１

//<0081> ただのエロ少年
<0081> ただのエロ少年

//<0082> ユリブサイク
<0082> ユリブサイク

//<0083> ドピュッシー
<0083> ドピュッシー

//<0084> アメリカンエロドッグ
<0084> アメリカンエロドッグ

//<0085> ゼウス
<0085> ゼウス

//<0086> 日向markⅡ
<0086> 日向markⅡ

//<0087> 糞虫
<0087> 糞虫

//<0088> 量産型日向
<0088> 量産型日向

//<0089> ？？
<0089> ？？

//<0090> 「ああ…平気だ」
<0090> 「ああ…平気だ」

//<0091> nothing
<0091> nothing

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> 日向
<0096> 日向

//<0097> 男Ｂ
<0097> 男Ｂ

//<0098> エロエロ団総帥
<0098> エロエロ団総帥

//<0099> イケチン
<0099> イケチン

//<0100> ホモ太
<0100> ホモ太

//<0101> ひなチン
<0101> ひなチン

//<0102> 秀樹
<0102> 秀樹

//<0103> 男子生徒
<0103> 男子生徒

//<0104> ？？
<0104> ？？

//<0105> 「だろ？」
<0105> 「だろ？」

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> 日向
<0111> 日向

//<0112> 男Ｂ
<0112> 男Ｂ

//<0113> エロエロ団総帥
<0113> エロエロ団総帥

//<0114> イケチン
<0114> イケチン

//<0115> ホモ太
<0115> ホモ太

//<0116> ひなチン
<0116> ひなチン

//<0117> 秀樹
<0117> 秀樹

//<0118> 男子生徒
<0118> 男子生徒

//<0119> ？？
<0119> ？？

//<0120> 「ほら顔洗って着替えて用意しろ」
<0120> 「ほら顔洗って着替えて用意しろ」

//<0121> nothing
<0121> nothing

