// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> se_bird
<0002> se_bird

//<0003> 音無
<0003> 音無

//<0004> クソ坊主
<0004> クソ坊主

//<0005> 代理人
<0005> 代理人

//<0006> 微妙すぎるイケメン
<0006> 微妙すぎるイケメン

//<0007> ロリコン
<0007> ロリコン

//<0008> メガネ仲間
<0008> メガネ仲間

//<0009> 暗算日本記録保持者
<0009> 暗算日本記録保持者

//<0010> 通り魔
<0010> 通り魔

//<0011> 記憶ナシ男
<0011> 記憶ナシ男

//<0012> 音速
<0012> 音速

//<0013> 無限
<0013> 無限

//<0014> エロ侍
<0014> エロ侍

//<0015> エロエロ団ナンバー１
<0015> エロエロ団ナンバー１

//<0016> ただのエロ少年
<0016> ただのエロ少年

//<0017> ユリブサイク
<0017> ユリブサイク

//<0018> ドピュッシー
<0018> ドピュッシー

//<0019> アメリカンエロドッグ
<0019> アメリカンエロドッグ

//<0020> ゼウス
<0020> ゼウス

//<0021> 日向markⅡ
<0021> 日向markⅡ

//<0022> 糞虫
<0022> 糞虫

//<0023> 量産型日向
<0023> 量産型日向

//<0024> ？？
<0024> ？？

//<0025> 「ん…」
<0025> 「ん…」

//<0026> 人の動く気配がして、目覚めた。
<0026> 人の動く気配がして、目覚めた。

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> 先に起きていた日向が身支度をしていた。
<0032> 先に起きていた日向が身支度をしていた。

//<0033> 音無
<0033> 音無

//<0034> クソ坊主
<0034> クソ坊主

//<0035> 代理人
<0035> 代理人

//<0036> 微妙すぎるイケメン
<0036> 微妙すぎるイケメン

//<0037> ロリコン
<0037> ロリコン

//<0038> メガネ仲間
<0038> メガネ仲間

//<0039> 暗算日本記録保持者
<0039> 暗算日本記録保持者

//<0040> 通り魔
<0040> 通り魔

//<0041> 記憶ナシ男
<0041> 記憶ナシ男

//<0042> 音速
<0042> 音速

//<0043> 無限
<0043> 無限

//<0044> エロ侍
<0044> エロ侍

//<0045> エロエロ団ナンバー１
<0045> エロエロ団ナンバー１

//<0046> ただのエロ少年
<0046> ただのエロ少年

//<0047> ユリブサイク
<0047> ユリブサイク

//<0048> ドピュッシー
<0048> ドピュッシー

//<0049> アメリカンエロドッグ
<0049> アメリカンエロドッグ

//<0050> ゼウス
<0050> ゼウス

//<0051> 日向markⅡ
<0051> 日向markⅡ

//<0052> 糞虫
<0052> 糞虫

//<0053> 量産型日向
<0053> 量産型日向

//<0054> ？？
<0054> ？？

//<0055> 「おはよ」
<0055> 「おはよ」

//<0056> nothing
<0056> nothing

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> 日向
<0061> 日向

//<0062> 男Ｂ
<0062> 男Ｂ

//<0063> エロエロ団総帥
<0063> エロエロ団総帥

//<0064> イケチン
<0064> イケチン

//<0065> ホモ太
<0065> ホモ太

//<0066> ひなチン
<0066> ひなチン

//<0067> 秀樹
<0067> 秀樹

//<0068> 男子生徒
<0068> 男子生徒

//<0069> ？？
<0069> ？？

//<0070> 「おっと起こしちまったか？」
<0070> 「おっと起こしちまったか？」

//<0071> 音無
<0071> 音無

//<0072> クソ坊主
<0072> クソ坊主

//<0073> 代理人
<0073> 代理人

//<0074> 微妙すぎるイケメン
<0074> 微妙すぎるイケメン

//<0075> ロリコン
<0075> ロリコン

//<0076> メガネ仲間
<0076> メガネ仲間

//<0077> 暗算日本記録保持者
<0077> 暗算日本記録保持者

//<0078> 通り魔
<0078> 通り魔

//<0079> 記憶ナシ男
<0079> 記憶ナシ男

//<0080> 音速
<0080> 音速

//<0081> 無限
<0081> 無限

//<0082> エロ侍
<0082> エロ侍

//<0083> エロエロ団ナンバー１
<0083> エロエロ団ナンバー１

//<0084> ただのエロ少年
<0084> ただのエロ少年

//<0085> ユリブサイク
<0085> ユリブサイク

//<0086> ドピュッシー
<0086> ドピュッシー

//<0087> アメリカンエロドッグ
<0087> アメリカンエロドッグ

//<0088> ゼウス
<0088> ゼウス

//<0089> 日向markⅡ
<0089> 日向markⅡ

//<0090> 糞虫
<0090> 糞虫

//<0091> 量産型日向
<0091> 量産型日向

//<0092> ？？
<0092> ？？

//<0093> 「いや、昨日はオペレーションに参加しなかったから、十分睡眠を取れた」
<0093> 「いや、昨日はオペレーションに参加しなかったから、十分睡眠を取れた」

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> nothing
<0096> nothing

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> 日向
<0099> 日向

//<0100> 男Ｂ
<0100> 男Ｂ

//<0101> エロエロ団総帥
<0101> エロエロ団総帥

//<0102> イケチン
<0102> イケチン

//<0103> ホモ太
<0103> ホモ太

//<0104> ひなチン
<0104> ひなチン

//<0105> 秀樹
<0105> 秀樹

//<0106> 男子生徒
<0106> 男子生徒

//<0107> ？？
<0107> ？？

//<0108> 「怪我のほうは？」
<0108> 「怪我のほうは？」

//<0109> 俺は確かめるように全身を動かしてみる。
<0109> 俺は確かめるように全身を動かしてみる。

//<0110> 音無
<0110> 音無

//<0111> クソ坊主
<0111> クソ坊主

//<0112> 代理人
<0112> 代理人

//<0113> 微妙すぎるイケメン
<0113> 微妙すぎるイケメン

//<0114> ロリコン
<0114> ロリコン

//<0115> メガネ仲間
<0115> メガネ仲間

//<0116> 暗算日本記録保持者
<0116> 暗算日本記録保持者

//<0117> 通り魔
<0117> 通り魔

//<0118> 記憶ナシ男
<0118> 記憶ナシ男

//<0119> 音速
<0119> 音速

//<0120> 無限
<0120> 無限

//<0121> エロ侍
<0121> エロ侍

//<0122> エロエロ団ナンバー１
<0122> エロエロ団ナンバー１

//<0123> ただのエロ少年
<0123> ただのエロ少年

