// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 野田
<0005> 野田

//<0006> 男Ｆ
<0006> 男Ｆ

//<0007> イケパイ
<0007> イケパイ

//<0008> 男
<0008> 男

//<0009> ？？
<0009> ？？

//<0010> 「懲りずにまた来たか」
<0010> 「懲りずにまた来たか」

//<0011> 音無
<0011> 音無

//<0012> クソ坊主
<0012> クソ坊主

//<0013> 代理人
<0013> 代理人

//<0014> 微妙すぎるイケメン
<0014> 微妙すぎるイケメン

//<0015> ロリコン
<0015> ロリコン

//<0016> メガネ仲間
<0016> メガネ仲間

//<0017> 暗算日本記録保持者
<0017> 暗算日本記録保持者

//<0018> 通り魔
<0018> 通り魔

//<0019> 記憶ナシ男
<0019> 記憶ナシ男

//<0020> 音速
<0020> 音速

//<0021> 無限
<0021> 無限

//<0022> エロ侍
<0022> エロ侍

//<0023> エロエロ団ナンバー１
<0023> エロエロ団ナンバー１

//<0024> ただのエロ少年
<0024> ただのエロ少年

//<0025> ユリブサイク
<0025> ユリブサイク

//<0026> ドピュッシー
<0026> ドピュッシー

//<0027> アメリカンエロドッグ
<0027> アメリカンエロドッグ

//<0028> ゼウス
<0028> ゼウス

//<0029> 日向markⅡ
<0029> 日向markⅡ

//<0030> 糞虫
<0030> 糞虫

//<0031> 量産型日向
<0031> 量産型日向

//<0032> ？？
<0032> ？？

//<0033> 「ああ」
<0033> 「ああ」

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> 野田
<0039> 野田

//<0040> 男Ｆ
<0040> 男Ｆ

//<0041> イケパイ
<0041> イケパイ

//<0042> 男
<0042> 男

//<0043> ？？
<0043> ？？

//<0044> 「また来たのか…」
<0044> 「また来たのか…」

//<0045> 音無
<0045> 音無

//<0046> クソ坊主
<0046> クソ坊主

//<0047> 代理人
<0047> 代理人

//<0048> 微妙すぎるイケメン
<0048> 微妙すぎるイケメン

//<0049> ロリコン
<0049> ロリコン

//<0050> メガネ仲間
<0050> メガネ仲間

//<0051> 暗算日本記録保持者
<0051> 暗算日本記録保持者

//<0052> 通り魔
<0052> 通り魔

//<0053> 記憶ナシ男
<0053> 記憶ナシ男

//<0054> 音速
<0054> 音速

//<0055> 無限
<0055> 無限

//<0056> エロ侍
<0056> エロ侍

//<0057> エロエロ団ナンバー１
<0057> エロエロ団ナンバー１

//<0058> ただのエロ少年
<0058> ただのエロ少年

//<0059> ユリブサイク
<0059> ユリブサイク

//<0060> ドピュッシー
<0060> ドピュッシー

//<0061> アメリカンエロドッグ
<0061> アメリカンエロドッグ

//<0062> ゼウス
<0062> ゼウス

//<0063> 日向markⅡ
<0063> 日向markⅡ

//<0064> 糞虫
<0064> 糞虫

//<0065> 量産型日向
<0065> 量産型日向

//<0066> ？？
<0066> ？？

//<0067> 「ああ」
<0067> 「ああ」

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> 野田
<0073> 野田

//<0074> 男Ｆ
<0074> 男Ｆ

//<0075> イケパイ
<0075> イケパイ

//<0076> 男
<0076> 男

//<0077> ？？
<0077> ？？

//<0078> 「その…こう言ったら悪い気分になるかもしれないが…言いたいことがある」
<0078> 「その…こう言ったら悪い気分になるかもしれないが…言いたいことがある」

//<0079> 音無
<0079> 音無

//<0080> クソ坊主
<0080> クソ坊主

