// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> se_cloth
<0002> se_cloth

//<0003> 物音で目が覚めた。
<0003> 物音で目が覚めた。

//<0004> 日向が、制服に着替えている最中だった。
<0004> 日向が、制服に着替えている最中だった。

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> 上は今素っ裸で、これからジャージの下を脱ごうとしている。
<0010> 上は今素っ裸で、これからジャージの下を脱ごうとしている。

//<0011> ガン見する
<0011> ガン見する

//<0012> そんな趣味はない
<0012> そんな趣味はない

//<0013> selbtn : 
<0013> selbtn : 

//<0014> 日向は俺が起きていることに気づいていない…。
<0014> 日向は俺が起きていることに気づいていない…。

//<0015> このままじっと、目を見開いていよう…。
<0015> このままじっと、目を見開いていよう…。

//<0016> se_cloth
<0016> se_cloth

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> nothing
<0019> nothing

//<0020> nothing
<0020> nothing

//<0021> nothing
<0021> nothing

//<0022> 日向がジャージを下ろし、トランクス一枚になった…。
<0022> 日向がジャージを下ろし、トランクス一枚になった…。

//<0023> それも脱げ！　素っ裸になれ！
<0023> それも脱げ！　素っ裸になれ！

//<0024> 音無
<0024> 音無

//<0025> クソ坊主
<0025> クソ坊主

//<0026> 代理人
<0026> 代理人

//<0027> 微妙すぎるイケメン
<0027> 微妙すぎるイケメン

//<0028> ロリコン
<0028> ロリコン

//<0029> メガネ仲間
<0029> メガネ仲間

//<0030> 暗算日本記録保持者
<0030> 暗算日本記録保持者

//<0031> 通り魔
<0031> 通り魔

//<0032> 記憶ナシ男
<0032> 記憶ナシ男

//<0033> 音速
<0033> 音速

//<0034> 無限
<0034> 無限

//<0035> エロ侍
<0035> エロ侍

//<0036> エロエロ団ナンバー１
<0036> エロエロ団ナンバー１

//<0037> ただのエロ少年
<0037> ただのエロ少年

//<0038> ユリブサイク
<0038> ユリブサイク

//<0039> ドピュッシー
<0039> ドピュッシー

//<0040> アメリカンエロドッグ
<0040> アメリカンエロドッグ

//<0041> ゼウス
<0041> ゼウス

//<0042> 日向markⅡ
<0042> 日向markⅡ

//<0043> 糞虫
<0043> 糞虫

//<0044> 量産型日向
<0044> 量産型日向

//<0045> ？？
<0045> ？？

//<0046> （あの、感動のイケチンをもう一度見せてくれ！）
<0046> （あの、感動のイケチンをもう一度見せてくれ！）

//<0047> そしてあそこを露わにしろ！
<0047> そしてあそこを露わにしろ！

//<0048> 俺はそう祈った。
<0048> 俺はそう祈った。

//<0049> se_cloth
<0049> se_cloth

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> nothing
<0054> nothing

//<0055> が、もちろん、制服のズボンを履く。
<0055> が、もちろん、制服のズボンを履く。

//<0056> nothing
<0056> nothing

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> あーあ…と思ったところで、身を起こし、日向におはようと告げた。
<0062> あーあ…と思ったところで、身を起こし、日向におはようと告げた。

//<0063> ………。
<0063> ………。

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> そこからするすると制服のズボンを履く。
<0069> そこからするすると制服のズボンを履く。

//<0070> ………。
<0070> ………。

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> 着替え終わるまでをガン見し続けた。
<0077> 着替え終わるまでをガン見し続けた。

//<0078> それから俺は身を起こし、日向におはようと告げた。
<0078> それから俺は身を起こし、日向におはようと告げた。

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> nothing
<0083> nothing

//<0084> nothing
<0084> nothing

//<0085> 何考えてんだ、俺…。
<0085> 何考えてんだ、俺…。

//<0086> そりゃ、日向のことは好きだが、あくまでも友達としてだ。
<0086> そりゃ、日向のことは好きだが、あくまでも友達としてだ。

//<0087> 俺は身を起こし、日向におはようと告げた。
<0087> 俺は身を起こし、日向におはようと告げた。

//<0088> 俺は身を起こす。
<0088> 俺は身を起こす。

//<0089> 音無
<0089> 音無

//<0090> クソ坊主
<0090> クソ坊主

//<0091> 代理人
<0091> 代理人

//<0092> 微妙すぎるイケメン
<0092> 微妙すぎるイケメン

//<0093> ロリコン
<0093> ロリコン

//<0094> メガネ仲間
<0094> メガネ仲間

//<0095> 暗算日本記録保持者
<0095> 暗算日本記録保持者

//<0096> 通り魔
<0096> 通り魔

//<0097> 記憶ナシ男
<0097> 記憶ナシ男

//<0098> 音速
<0098> 音速

//<0099> 無限
<0099> 無限

//<0100> エロ侍
<0100> エロ侍

//<0101> エロエロ団ナンバー１
<0101> エロエロ団ナンバー１

//<0102> ただのエロ少年
<0102> ただのエロ少年

//<0103> ユリブサイク
<0103> ユリブサイク

//<0104> ドピュッシー
<0104> ドピュッシー

//<0105> アメリカンエロドッグ
<0105> アメリカンエロドッグ

//<0106> ゼウス
<0106> ゼウス

//<0107> 日向markⅡ
<0107> 日向markⅡ

//<0108> 糞虫
<0108> 糞虫

//<0109> 量産型日向
<0109> 量産型日向

//<0110> ？？
<0110> ？？

//<0111> 「おはよう」
<0111> 「おはよう」

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> nothing
<0114> nothing

//<0115> nothing
<0115> nothing

//<0116> nothing
<0116> nothing

//<0117> 日向
<0117> 日向

//<0118> 男Ｂ
