// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_kazekiri3
<0000> se_kazekiri3

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> 河原にまでやってくる。相変わらず上半身裸で、ハルバートを振るっていた。
<0006> 河原にまでやってくる。相変わらず上半身裸で、ハルバートを振るっていた。

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> 野田
<0012> 野田

//<0013> 男Ｆ
<0013> 男Ｆ

//<0014> イケパイ
<0014> イケパイ

//<0015> 男
<0015> 男

//<0016> ？？
<0016> ？？

//<0017> 「また来たか…懲りない奴だな…」
<0017> 「また来たか…懲りない奴だな…」

//<0018> 音無
<0018> 音無

//<0019> クソ坊主
<0019> クソ坊主

//<0020> 代理人
<0020> 代理人

//<0021> 微妙すぎるイケメン
<0021> 微妙すぎるイケメン

//<0022> ロリコン
<0022> ロリコン

//<0023> メガネ仲間
<0023> メガネ仲間

//<0024> 暗算日本記録保持者
<0024> 暗算日本記録保持者

//<0025> 通り魔
<0025> 通り魔

//<0026> 記憶ナシ男
<0026> 記憶ナシ男

//<0027> 音速
<0027> 音速

//<0028> 無限
<0028> 無限

//<0029> エロ侍
<0029> エロ侍

//<0030> エロエロ団ナンバー１
<0030> エロエロ団ナンバー１

//<0031> ただのエロ少年
<0031> ただのエロ少年

//<0032> ユリブサイク
<0032> ユリブサイク

//<0033> ドピュッシー
<0033> ドピュッシー

//<0034> アメリカンエロドッグ
<0034> アメリカンエロドッグ

//<0035> ゼウス
<0035> ゼウス

//<0036> 日向markⅡ
<0036> 日向markⅡ

//<0037> 糞虫
<0037> 糞虫

//<0038> 量産型日向
<0038> 量産型日向

//<0039> ？？
<0039> ？？

//<0040> 「どうやら負けず嫌いなようでね」
<0040> 「どうやら負けず嫌いなようでね」

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> 野田
<0046> 野田

//<0047> 男Ｆ
<0047> 男Ｆ

//<0048> イケパイ
<0048> イケパイ

//<0049> 男
<0049> 男

//<0050> ？？
<0050> ？？

//<0051> 「じゃあ、猛特訓の後、一戦交えよう」
<0051> 「じゃあ、猛特訓の後、一戦交えよう」

//<0052> 音無
<0052> 音無

//<0053> クソ坊主
<0053> クソ坊主

//<0054> 代理人
<0054> 代理人

//<0055> 微妙すぎるイケメン
<0055> 微妙すぎるイケメン

//<0056> ロリコン
<0056> ロリコン

//<0057> メガネ仲間
<0057> メガネ仲間

//<0058> 暗算日本記録保持者
<0058> 暗算日本記録保持者

//<0059> 通り魔
<0059> 通り魔

//<0060> 記憶ナシ男
<0060> 記憶ナシ男

//<0061> 音速
<0061> 音速

//<0062> 無限
<0062> 無限

//<0063> エロ侍
<0063> エロ侍

//<0064> エロエロ団ナンバー１
<0064> エロエロ団ナンバー１

//<0065> ただのエロ少年
<0065> ただのエロ少年

//<0066> ユリブサイク
<0066> ユリブサイク

//<0067> ドピュッシー
<0067> ドピュッシー

//<0068> アメリカンエロドッグ
<0068> アメリカンエロドッグ

//<0069> ゼウス
<0069> ゼウス

//<0070> 日向markⅡ
<0070> 日向markⅡ

//<0071> 糞虫
<0071> 糞虫

//<0072> 量産型日向
<0072> 量産型日向

//<0073> ？？
<0073> ？？

//<0074> 「ああ。臨むところだ」
<0074> 「ああ。臨むところだ」

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> nothing
<0077> nothing

//<0078> nothing
<0078> nothing

//<0079> nothing
<0079> nothing

//<0080> 野田
<0080> 野田

//<0081> 男Ｆ
<0081> 男Ｆ

