// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> また河原で上半身裸でハルバートを振るう野田を見つけた。
<0005> また河原で上半身裸でハルバートを振るう野田を見つけた。

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> 音無
<0012> 音無

//<0013> クソ坊主
<0013> クソ坊主

//<0014> 代理人
<0014> 代理人

//<0015> 微妙すぎるイケメン
<0015> 微妙すぎるイケメン

//<0016> ロリコン
<0016> ロリコン

//<0017> メガネ仲間
<0017> メガネ仲間

//<0018> 暗算日本記録保持者
<0018> 暗算日本記録保持者

//<0019> 通り魔
<0019> 通り魔

//<0020> 記憶ナシ男
<0020> 記憶ナシ男

//<0021> 音速
<0021> 音速

//<0022> 無限
<0022> 無限

//<0023> エロ侍
<0023> エロ侍

//<0024> エロエロ団ナンバー１
<0024> エロエロ団ナンバー１

//<0025> ただのエロ少年
<0025> ただのエロ少年

//<0026> ユリブサイク
<0026> ユリブサイク

//<0027> ドピュッシー
<0027> ドピュッシー

//<0028> アメリカンエロドッグ
<0028> アメリカンエロドッグ

//<0029> ゼウス
<0029> ゼウス

//<0030> 日向markⅡ
<0030> 日向markⅡ

//<0031> 糞虫
<0031> 糞虫

//<0032> 量産型日向
<0032> 量産型日向

//<0033> ？？
<0033> ？？

//<0034> 「よう。調子はどうだい」
<0034> 「よう。調子はどうだい」

//<0035> そう声をかけた。
<0035> そう声をかけた。

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> 野田
<0041> 野田

//<0042> 男Ｆ
<0042> 男Ｆ

//<0043> イケパイ
<0043> イケパイ

//<0044> 男
<0044> 男

//<0045> ？？
<0045> ？？
{18d8} 33 // 0045

//<0046> 「ふっ…貴様か…って、なんて格好で来るんだっ！？」
<0046> 「ふっ…貴様か…って、なんて格好で来るんだっ！？」

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> 音無
<0052> 音無

//<0053> クソ坊主
<0053> クソ坊主

//<0054> 代理人
<0054> 代理人

//<0055> 微妙すぎるイケメン
<0055> 微妙すぎるイケメン

//<0056> ロリコン
<0056> ロリコン

//<0057> メガネ仲間
<0057> メガネ仲間

//<0058> 暗算日本記録保持者
<0058> 暗算日本記録保持者

//<0059> 通り魔
<0059> 通り魔

//<0060> 記憶ナシ男
<0060> 記憶ナシ男

//<0061> 音速
<0061> 音速

//<0062> 無限
<0062> 無限

//<0063> エロ侍
<0063> エロ侍

//<0064> エロエロ団ナンバー１
<0064> エロエロ団ナンバー１

//<0065> ただのエロ少年
<0065> ただのエロ少年

//<0066> ユリブサイク
<0066> ユリブサイク

//<0067> ドピュッシー
<0067> ドピュッシー

//<0068> アメリカンエロドッグ
<0068> アメリカンエロドッグ

//<0069> ゼウス
<0069> ゼウス

//<0070> 日向markⅡ
<0070> 日向markⅡ

//<0071> 糞虫
<0071> 糞虫

//<0072> 量産型日向
<0072> 量産型日向

//<0073> ？？
<0073> ？？

//<0074> 「この格好は無視してくれ」
<0074> 「この格好は無視してくれ」

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> nothing
<0077> nothing

//<0078> nothing
<0078> nothing

//<0079> nothing
