// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> カーテンの隙間から差し込む光で目が醒める。
<0002> カーテンの隙間から差し込む光で目が醒める。

//<0003> 日向はすーぴーと鼻を鳴らしながら眠っていた。
<0003> 日向はすーぴーと鼻を鳴らしながら眠っていた。

//<0004> 起こすにはまだ早い時間だ。
<0004> 起こすにはまだ早い時間だ。

//<0005> もう少し眠る
<0005> もう少し眠る

//<0006> 日向の隣で寝る
<0006> 日向の隣で寝る

//<0007> 起こす
<0007> 起こす

//<0008> selbtn : 
<0008> selbtn : 

//<0009> 俺は布団に潜り、目を閉じた。
<0009> 俺は布団に潜り、目を閉じた。

//<0010> 俺は二段目に登り、日向の布団に潜り込んだ。
<0010> 俺は二段目に登り、日向の布団に潜り込んだ。

//<0011> bs3_
<0011> bs3_

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> 音無
<0017> 音無

//<0018> クソ坊主
<0018> クソ坊主

//<0019> 代理人
<0019> 代理人

//<0020> 微妙すぎるイケメン
<0020> 微妙すぎるイケメン

//<0021> ロリコン
<0021> ロリコン

//<0022> メガネ仲間
<0022> メガネ仲間

//<0023> 暗算日本記録保持者
<0023> 暗算日本記録保持者

//<0024> 通り魔
<0024> 通り魔

//<0025> 記憶ナシ男
<0025> 記憶ナシ男

//<0026> 音速
<0026> 音速

//<0027> 無限
<0027> 無限

//<0028> エロ侍
<0028> エロ侍

//<0029> エロエロ団ナンバー１
<0029> エロエロ団ナンバー１

//<0030> ただのエロ少年
<0030> ただのエロ少年

//<0031> ユリブサイク
<0031> ユリブサイク

//<0032> ドピュッシー
<0032> ドピュッシー

//<0033> アメリカンエロドッグ
<0033> アメリカンエロドッグ

//<0034> ゼウス
<0034> ゼウス

//<0035> 日向markⅡ
<0035> 日向markⅡ

//<0036> 糞虫
<0036> 糞虫

//<0037> 量産型日向
<0037> 量産型日向

//<0038> ？？
<0038> ？？

//<0039> （なんて温かいんだ…）
<0039> （なんて温かいんだ…）

//<0040> すーぴーすーぴー。
<0040> すーぴーすーぴー。

//<0041> 音無
<0041> 音無

//<0042> クソ坊主
<0042> クソ坊主

//<0043> 代理人
<0043> 代理人

//<0044> 微妙すぎるイケメン
<0044> 微妙すぎるイケメン

//<0045> ロリコン
<0045> ロリコン

//<0046> メガネ仲間
<0046> メガネ仲間

//<0047> 暗算日本記録保持者
<0047> 暗算日本記録保持者

//<0048> 通り魔
<0048> 通り魔

//<0049> 記憶ナシ男
<0049> 記憶ナシ男

//<0050> 音速
<0050> 音速

//<0051> 無限
<0051> 無限

//<0052> エロ侍
<0052> エロ侍

//<0053> エロエロ団ナンバー１
<0053> エロエロ団ナンバー１

//<0054> ただのエロ少年
<0054> ただのエロ少年

//<0055> ユリブサイク
<0055> ユリブサイク

//<0056> ドピュッシー
<0056> ドピュッシー

//<0057> アメリカンエロドッグ
<0057> アメリカンエロドッグ

//<0058> ゼウス
<0058> ゼウス

//<0059> 日向markⅡ
<0059> 日向markⅡ

//<0060> 糞虫
<0060> 糞虫

//<0061> 量産型日向
<0061> 量産型日向

//<0062> ？？
<0062> ？？

//<0063> （そして、なんて可愛らしい寝息なんだ…）
<0063> （そして、なんて可愛らしい寝息なんだ…）

//<0064> しばらくその顔を見つめていたが、さすがに睡眠不足だったのか、俺も寝入ってしまった。
<0064> しばらくその顔を見つめていたが、さすがに睡眠不足だったのか、俺も寝入ってしまった。

//<0065> se_alarmclock
<0065> se_alarmclock

//<0066> ぴっぴっぴ…と目覚まし時計の音。
<0066> ぴっぴっぴ…と目覚まし時計の音。

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> 日向
<0072> 日向

//<0073> 男Ｂ
<0073> 男Ｂ

//<0074> エロエロ団総帥
<0074> エロエロ団総帥

//<0075> イケチン
<0075> イケチン

//<0076> ホモ太
<0076> ホモ太

//<0077> ひなチン
<0077> ひなチン

//<0078> 秀樹
<0078> 秀樹

//<0079> 男子生徒
<0079> 男子生徒

//<0080> ？？
<0080> ？？
{2a43} 33 // 0080

//<0081> 「ふわぁ…って、なんでお前が居るんだぁーー！！」
<0081> 「ふわぁ…って、なんでお前が居るんだぁーー！！」

//<0082> nothing
<0082> nothing

//<0083> nothing
<0083> nothing

//<0084> nothing
<0084> nothing

//<0085> nothing
<0085> nothing

//<0086> nothing
<0086> nothing

//<0087> 音無
<0087> 音無

//<0088> クソ坊主
<0088> クソ坊主

//<0089> 代理人
<0089> 代理人

//<0090> 微妙すぎるイケメン
<0090> 微妙すぎるイケメン

//<0091> ロリコン
<0091> ロリコン

//<0092> メガネ仲間
<0092> メガネ仲間

//<0093> 暗算日本記録保持者
<0093> 暗算日本記録保持者

//<0094> 通り魔
<0094> 通り魔

//<0095> 記憶ナシ男
<0095> 記憶ナシ男

//<0096> 音速
<0096> 音速

//<0097> 無限
<0097> 無限

//<0098> エロ侍
<0098> エロ侍

//<0099> エロエロ団ナンバー１
<0099> エロエロ団ナンバー１

//<0100> ただのエロ少年
<0100> ただのエロ少年

//<0101> ユリブサイク
<0101> ユリブサイク

//<0102> ドピュッシー
<0102> ドピュッシー

//<0103> アメリカンエロドッグ
<0103> アメリカンエロドッグ

//<0104> ゼウス
<0104> ゼウス

//<0105> 日向markⅡ
<0105> 日向markⅡ

//<0106> 糞虫
<0106> 糞虫

//<0107> 量産型日向
<0107> 量産型日向

//<0108> ？？
<0108> ？？

//<0109> 「むにゃむにゃ…おはよう」
<0109> 「むにゃむにゃ…おはよう」

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> nothing
<0114> nothing

