// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> 夜が明ける。
<0002> 夜が明ける。

//<0003> 頭がぼやーーっとする…。
<0003> 頭がぼやーーっとする…。

//<0004> シャワーでも浴びてこよう、と部屋を出た。
<0004> シャワーでも浴びてこよう、と部屋を出た。

//<0005> 制服に着替え、戻ってくる。
<0005> 制服に着替え、戻ってくる。

//<0006> しばらく待つと、ぎっと頭上のベッドがきしむ音がした。日向が起きたのだろう。
<0006> しばらく待つと、ぎっと頭上のベッドがきしむ音がした。日向が起きたのだろう。

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> 日向
<0012> 日向

//<0013> 男Ｂ
<0013> 男Ｂ

//<0014> エロエロ団総帥
<0014> エロエロ団総帥

//<0015> イケチン
<0015> イケチン

//<0016> ホモ太
<0016> ホモ太

//<0017> ひなチン
<0017> ひなチン

//<0018> 秀樹
<0018> 秀樹

//<0019> 男子生徒
<0019> 男子生徒

//<0020> ？？
<0020> ？？

//<0021> 「ん…おはよう…」
<0021> 「ん…おはよう…」

//<0022> 音無
<0022> 音無

//<0023> クソ坊主
<0023> クソ坊主

//<0024> 代理人
<0024> 代理人

//<0025> 微妙すぎるイケメン
<0025> 微妙すぎるイケメン

//<0026> ロリコン
<0026> ロリコン

//<0027> メガネ仲間
<0027> メガネ仲間

//<0028> 暗算日本記録保持者
<0028> 暗算日本記録保持者

//<0029> 通り魔
<0029> 通り魔

//<0030> 記憶ナシ男
<0030> 記憶ナシ男

//<0031> 音速
<0031> 音速

//<0032> 無限
<0032> 無限

//<0033> エロ侍
<0033> エロ侍

//<0034> エロエロ団ナンバー１
<0034> エロエロ団ナンバー１

//<0035> ただのエロ少年
<0035> ただのエロ少年

//<0036> ユリブサイク
<0036> ユリブサイク

//<0037> ドピュッシー
<0037> ドピュッシー

//<0038> アメリカンエロドッグ
<0038> アメリカンエロドッグ

//<0039> ゼウス
<0039> ゼウス

//<0040> 日向markⅡ
<0040> 日向markⅡ

//<0041> 糞虫
<0041> 糞虫

//<0042> 量産型日向
<0042> 量産型日向

//<0043> ？？
<0043> ？？

//<0044> 「おはよう…」
<0044> 「おはよう…」

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> 日向
<0050> 日向

//<0051> 男Ｂ
<0051> 男Ｂ

//<0052> エロエロ団総帥
<0052> エロエロ団総帥

//<0053> イケチン
<0053> イケチン

//<0054> ホモ太
<0054> ホモ太

//<0055> ひなチン
<0055> ひなチン

//<0056> 秀樹
<0056> 秀樹

//<0057> 男子生徒
<0057> 男子生徒

//<0058> ？？
<0058> ？？

//<0059> 「あれ…もう着替えまですませてるのか…」
<0059> 「あれ…もう着替えまですませてるのか…」

//<0060> 音無
<0060> 音無

//<0061> クソ坊主
<0061> クソ坊主

//<0062> 代理人
<0062> 代理人

//<0063> 微妙すぎるイケメン
<0063> 微妙すぎるイケメン

//<0064> ロリコン
<0064> ロリコン

//<0065> メガネ仲間
<0065> メガネ仲間

//<0066> 暗算日本記録保持者
<0066> 暗算日本記録保持者

//<0067> 通り魔
<0067> 通り魔

//<0068> 記憶ナシ男
<0068> 記憶ナシ男

//<0069> 音速
<0069> 音速

//<0070> 無限
<0070> 無限

//<0071> エロ侍
<0071> エロ侍

//<0072> エロエロ団ナンバー１
<0072> エロエロ団ナンバー１

//<0073> ただのエロ少年
<0073> ただのエロ少年

//<0074> ユリブサイク
<0074> ユリブサイク

//<0075> ドピュッシー
<0075> ドピュッシー

//<0076> アメリカンエロドッグ
<0076> アメリカンエロドッグ

//<0077> ゼウス
<0077> ゼウス

//<0078> 日向markⅡ
<0078> 日向markⅡ

//<0079> 糞虫
<0079> 糞虫

//<0080> 量産型日向
<0080> 量産型日向

//<0081> ？？
<0081> ？？

//<0082> 「ああ…」
<0082> 「ああ…」

//<0083> nothing
<0083> nothing

//<0084> nothing
<0084> nothing

//<0085> nothing
<0085> nothing

//<0086> nothing
<0086> nothing

//<0087> nothing
<0087> nothing

//<0088> 日向
<0088> 日向

//<0089> 男Ｂ
<0089> 男Ｂ

//<0090> エロエロ団総帥
<0090> エロエロ団総帥

//<0091> イケチン
<0091> イケチン

//<0092> ホモ太
<0092> ホモ太

//<0093> ひなチン
<0093> ひなチン

//<0094> 秀樹
<0094> 秀樹

//<0095> 男子生徒
<0095> 男子生徒

//<0096> ？？
<0096> ？？

//<0097> 「あれ？　なんか目の下にクマ出来てないか？　元気もなさそうだし…」
<0097> 「あれ？　なんか目の下にクマ出来てないか？　元気もなさそうだし…」

//<0098> 音無
<0098> 音無

//<0099> クソ坊主
<0099> クソ坊主

//<0100> 代理人
<0100> 代理人

//<0101> 微妙すぎるイケメン
<0101> 微妙すぎるイケメン

//<0102> ロリコン
<0102> ロリコン

//<0103> メガネ仲間
<0103> メガネ仲間

//<0104> 暗算日本記録保持者
<0104> 暗算日本記録保持者

//<0105> 通り魔
<0105> 通り魔

//<0106> 記憶ナシ男
<0106> 記憶ナシ男

//<0107> 音速
<0107> 音速

//<0108> 無限
<0108> 無限

//<0109> エロ侍
<0109> エロ侍

//<0110> エロエロ団ナンバー１
<0110> エロエロ団ナンバー１

//<0111> ただのエロ少年
<0111> ただのエロ少年

//<0112> ユリブサイク
<0112> ユリブサイク

//<0113> ドピュッシー
<0113> ドピュッシー

//<0114> アメリカンエロドッグ
<0114> アメリカンエロドッグ

//<0115> ゼウス
<0115> ゼウス

//<0116> 日向markⅡ
<0116> 日向markⅡ

//<0117> 糞虫
<0117> 糞虫

//<0118> 量産型日向
<0118> 量産型日向

//<0119> ？？
<0119> ？？

//<0120> 「そうか…？」
<0120> 「そうか…？」

