// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> それぞれ銃を手に固まって進む。先頭はゆり。
<0005> それぞれ銃を手に固まって進む。先頭はゆり。

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> 大山
<0011> 大山

//<0012> 「トラップには気を付けてね、野田くん」
<0012> 「トラップには気を付けてね、野田くん」

//<0013> 野田
<0013> 野田

//<0014> 男Ｆ
<0014> 男Ｆ

//<0015> イケパイ
<0015> イケパイ

//<0016> 男
<0016> 男

//<0017> ？？
<0017> ？？

//<0018> 「二度とあんなへまはしないっ！　今度こそ、ゆりっぺを守り抜く！」
<0018> 「二度とあんなへまはしないっ！　今度こそ、ゆりっぺを守り抜く！」

//<0019> nothing
<0019> nothing

//<0020> nothing
<0020> nothing

//<0021> nothing
<0021> nothing

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> ユイ
<0024> ユイ

//<0025> 「あの、こんなところで天使に出くわしたらどのみち漏らしそうなんですけど…」
<0025> 「あの、こんなところで天使に出くわしたらどのみち漏らしそうなんですけど…」

//<0026> 日向
<0026> 日向

//<0027> 男Ｂ
<0027> 男Ｂ

//<0028> エロエロ団総帥
<0028> エロエロ団総帥

//<0029> イケチン
<0029> イケチン

//<0030> ホモ太
<0030> ホモ太

//<0031> ひなチン
<0031> ひなチン

//<0032> 秀樹
<0032> 秀樹

//<0033> 男子生徒
<0033> 男子生徒

//<0034> ？？
<0034> ？？

//<0035> 「かまわん」
<0035> 「かまわん」

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> ユイ
<0041> ユイ

//<0042> 「かまってくださいよぅ！」
<0042> 「かまってくださいよぅ！」

//<0043> どれだけ歩みを進めただろう。
<0043> どれだけ歩みを進めただろう。

//<0044> ようやく明かりの先にその姿が浮かぶ。
<0044> ようやく明かりの先にその姿が浮かぶ。

//<0045> nothing
<0045> nothing

//<0046> 
<0046> 

//<0047> 
<0047> 

//<0048> nothing
<0048> nothing

//<0049> 天使。間違いなく分身のほうだ。すでにハンドソニックを携えている。
<0049> 天使。間違いなく分身のほうだ。すでにハンドソニックを携えている。

//<0050> ユイ
<0050> ユイ

//<0051> 「ひぃやあぁぁ！」
<0051> 「ひぃやあぁぁ！」

//<0052> 日向
<0052> 日向

//<0053> 男Ｂ
<0053> 男Ｂ

//<0054> エロエロ団総帥
<0054> エロエロ団総帥

//<0055> イケチン
<0055> イケチン

//<0056> ホモ太
<0056> ホモ太

//<0057> ひなチン
<0057> ひなチン

//<0058> 秀樹
<0058> 秀樹

//<0059> 男子生徒
<0059> 男子生徒

//<0060> ？？
<0060> ？？

//<0061> 「かまわん」
<0061> 「かまわん」

//<0062> none
<0062> none

//<0063> ユイ
<0063> ユイ

//<0064> 「かまってくださいよぅ！」
<0064> 「かまってくださいよぅ！」

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> ゆり
<0070> ゆり

//<0071> 女生徒
<0071> 女生徒

//<0072> ？？
<0072> ？？

//<0073> 「うてーー！」
<0073> 「うてーー！」

//<0074> se_handgun
<0074> se_handgun

//<0075> se_handgun2
<0075> se_handgun2

//<0076> se_rifle
<0076> se_rifle

